gap_type,capability_count,coverage_count,coverage_percent
SOURCE,0,526,100.0
SERVICE,312,214,40.68
ENDPOINT,245,281,53.42
REAL_DATA,5,521,99.05
CALCULATION,186,340,64.64
TEST,0,526,100.0
UI,337,189,35.93
