source_service,evidence_type,target,confidence,evidence_count,evidence_locations,governance_status
bot-execution,ENVIRONMENT_REFERENCE,NDSP_BOT_EXECUTION_HOST,HIGH,1,backend/services/bot_execution/main.cjs:9,APPENDIX_ONLY
bot-execution,ENVIRONMENT_REFERENCE,NDSP_BOT_EXECUTION_PORT,HIGH,1,backend/services/bot_execution/main.cjs:8,APPENDIX_ONLY
bot-execution,ENVIRONMENT_REFERENCE,NDSP_COMPLETED_DECISION_URL,HIGH,1,backend/services/bot_execution/main.cjs:10,APPENDIX_ONLY
bot-execution,FILE_DEPENDENCY,../../framework,MEDIUM,1,backend/services/bot_execution/framework-adapter.cjs:3,APPENDIX_ONLY
bot-execution,FILE_DEPENDENCY,../../framework,LOW,1,backend/services/bot_execution/framework-adapter.cjs:3,APPENDIX_ONLY
bot-execution,FILE_DEPENDENCY,./framework-adapter.cjs,MEDIUM,1,backend/services/bot_execution/main.cjs:6,APPENDIX_ONLY
bot-execution,FILE_DEPENDENCY,./framework-adapter.cjs,LOW,1,backend/services/bot_execution/main.cjs:6,APPENDIX_ONLY
bot-execution,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/runtime/systemd-env/core-services.env,MEDIUM,1,backend/services/bot_execution/systemd/ndsp-bot_execution.service:16,APPENDIX_ONLY
bot-execution,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/services/bot_execution,MEDIUM,1,backend/services/bot_execution/systemd/ndsp-bot_execution.service:8,APPENDIX_ONLY
bot-execution,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/services/bot_execution/main.cjs,MEDIUM,1,backend/services/bot_execution/systemd/ndsp-bot_execution.service:12,APPENDIX_ONLY
completed-decision,ENVIRONMENT_REFERENCE,DATABASE_URL,HIGH,1,backend/services/completed_decision/main.cjs:14,APPENDIX_ONLY
completed-decision,ENVIRONMENT_REFERENCE,DB_NAME,HIGH,1,backend/services/completed_decision/main.cjs:24,APPENDIX_ONLY
completed-decision,ENVIRONMENT_REFERENCE,DB_PASSWORD,HIGH,1,backend/services/completed_decision/main.cjs:26,APPENDIX_ONLY
completed-decision,ENVIRONMENT_REFERENCE,DB_USER,HIGH,1,backend/services/completed_decision/main.cjs:25,APPENDIX_ONLY
completed-decision,ENVIRONMENT_REFERENCE,NDSP_COMPLETED_DECISION_HOST,HIGH,1,backend/services/completed_decision/main.cjs:11,APPENDIX_ONLY
completed-decision,ENVIRONMENT_REFERENCE,NDSP_COMPLETED_DECISION_PORT,HIGH,1,backend/services/completed_decision/main.cjs:10,APPENDIX_ONLY
completed-decision,ENVIRONMENT_REFERENCE,NDSP_DATABASE_URL,HIGH,1,backend/services/completed_decision/main.cjs:16,APPENDIX_ONLY
completed-decision,ENVIRONMENT_REFERENCE,PGDATABASE,HIGH,1,backend/services/completed_decision/main.cjs:24,APPENDIX_ONLY
completed-decision,ENVIRONMENT_REFERENCE,PGHOST,HIGH,1,backend/services/completed_decision/main.cjs:22,APPENDIX_ONLY
completed-decision,ENVIRONMENT_REFERENCE,PGPASSWORD,HIGH,1,backend/services/completed_decision/main.cjs:26,APPENDIX_ONLY
completed-decision,ENVIRONMENT_REFERENCE,PGPORT,HIGH,1,backend/services/completed_decision/main.cjs:23,APPENDIX_ONLY
completed-decision,ENVIRONMENT_REFERENCE,PGSSL,HIGH,1,backend/services/completed_decision/main.cjs:20,APPENDIX_ONLY
completed-decision,ENVIRONMENT_REFERENCE,PGUSER,HIGH,1,backend/services/completed_decision/main.cjs:25,APPENDIX_ONLY
completed-decision,ENVIRONMENT_REFERENCE,POSTGRES_URL,HIGH,1,backend/services/completed_decision/main.cjs:15,APPENDIX_ONLY
completed-decision,FILE_DEPENDENCY,../../framework,MEDIUM,1,backend/services/completed_decision/framework-adapter.cjs:3,APPENDIX_ONLY
completed-decision,FILE_DEPENDENCY,../../framework,LOW,1,backend/services/completed_decision/framework-adapter.cjs:3,APPENDIX_ONLY
completed-decision,FILE_DEPENDENCY,./framework-adapter.cjs,MEDIUM,1,backend/services/completed_decision/main.cjs:8,APPENDIX_ONLY
completed-decision,FILE_DEPENDENCY,./framework-adapter.cjs,LOW,1,backend/services/completed_decision/main.cjs:8,APPENDIX_ONLY
completed-decision,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/runtime/systemd-env/core-services.env,MEDIUM,1,backend/services/completed_decision/systemd/ndsp-completed_decision.service:16,APPENDIX_ONLY
completed-decision,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/services/completed_decision,MEDIUM,1,backend/services/completed_decision/systemd/ndsp-completed_decision.service:8,APPENDIX_ONLY
completed-decision,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/services/completed_decision/main.cjs,MEDIUM,1,backend/services/completed_decision/systemd/ndsp-completed_decision.service:12,APPENDIX_ONLY
decision-governance-core,ENVIRONMENT_REFERENCE,NDSP_COMPLETED_DECISION_URL,HIGH,1,backend/services/decision_governance_core/main.cjs:10,APPENDIX_ONLY
decision-governance-core,ENVIRONMENT_REFERENCE,NDSP_GOVERNANCE_HOST,HIGH,1,backend/services/decision_governance_core/main.cjs:9,APPENDIX_ONLY
decision-governance-core,ENVIRONMENT_REFERENCE,NDSP_GOVERNANCE_PORT,HIGH,1,backend/services/decision_governance_core/main.cjs:8,APPENDIX_ONLY
decision-governance-core,FILE_DEPENDENCY,../../framework,MEDIUM,1,backend/services/decision_governance_core/framework-adapter.cjs:3,APPENDIX_ONLY
decision-governance-core,FILE_DEPENDENCY,../../framework,LOW,1,backend/services/decision_governance_core/framework-adapter.cjs:3,APPENDIX_ONLY
decision-governance-core,FILE_DEPENDENCY,./framework-adapter.cjs,MEDIUM,1,backend/services/decision_governance_core/main.cjs:6,APPENDIX_ONLY
decision-governance-core,FILE_DEPENDENCY,./framework-adapter.cjs,LOW,1,backend/services/decision_governance_core/main.cjs:6,APPENDIX_ONLY
decision-governance-core,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/runtime/systemd-env/core-services.env,MEDIUM,1,backend/services/decision_governance_core/systemd/ndsp-decision_governance_core.service:16,APPENDIX_ONLY
decision-governance-core,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/services/decision_governance_core,MEDIUM,1,backend/services/decision_governance_core/systemd/ndsp-decision_governance_core.service:8,APPENDIX_ONLY
decision-governance-core,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/services/decision_governance_core/main.cjs,MEDIUM,1,backend/services/decision_governance_core/systemd/ndsp-decision_governance_core.service:12,APPENDIX_ONLY
ndsp-launch-control-v167,ENVIRONMENT_REFERENCE,ADMIN_SECRET,HIGH,1,backend/services/ndsp-launch-control-v167/server.py:19,APPENDIX_ONLY
ndsp-launch-control-v167,ENVIRONMENT_REFERENCE,DB_PATH,HIGH,1,backend/services/ndsp-launch-control-v167/server.py:18,APPENDIX_ONLY
ndsp-launch-control-v167,ENVIRONMENT_REFERENCE,PORT,HIGH,1,backend/services/ndsp-launch-control-v167/server.py:17,APPENDIX_ONLY
ndsp-layers-api,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/layers,MEDIUM,1,apps/ndsp-layers-api/app.py:14,APPENDIX_ONLY
ndsp-platform-backend,ENVIRONMENT_REFERENCE,ADMIN_EMAIL,HIGH,1,backend/server.js:91,APPENDIX_ONLY
ndsp-platform-backend,ENVIRONMENT_REFERENCE,ADMIN_KEY,HIGH,1,backend/server.js:1213,APPENDIX_ONLY
ndsp-platform-backend,ENVIRONMENT_REFERENCE,AUTH_PORT,HIGH,1,backend/server.js:16,APPENDIX_ONLY
ndsp-platform-backend,ENVIRONMENT_REFERENCE,DATABASE_URL,HIGH,1,backend/server.js:88,APPENDIX_ONLY
ndsp-platform-backend,ENVIRONMENT_REFERENCE,JWT_SECRET,HIGH,2,backend/server.js:139;backend/server.js:151,APPENDIX_ONLY
ndsp-platform-backend,ENVIRONMENT_REFERENCE,NDSP_ADMIN_ACTION_KEY,HIGH,1,backend/server.js:1211,APPENDIX_ONLY
ndsp-platform-backend,ENVIRONMENT_REFERENCE,NDSP_ADMIN_KEY,HIGH,1,backend/server.js:1212,APPENDIX_ONLY
ndsp-platform-backend,ENVIRONMENT_REFERENCE,NDSP_AUTH_PORT,HIGH,1,backend/server.js:16,APPENDIX_ONLY
ndsp-platform-backend,ENVIRONMENT_REFERENCE,PORT,HIGH,2,backend/server.js:16;backend/server.js:90,APPENDIX_ONLY
ndsp-platform-backend,ENVIRONMENT_REFERENCE,TELEGRAM_BOT_TOKEN,HIGH,1,backend/server.js:1410,APPENDIX_ONLY
ndsp-platform-backend,ENVIRONMENT_REFERENCE,X_ADMIN_KEY,HIGH,1,backend/server.js:1214,APPENDIX_ONLY
ndsp-platform-backend,FILE_DEPENDENCY,./ndsp_admin_actions_authoritative.cjs,MEDIUM,1,backend/server.js:1067,APPENDIX_ONLY
ndsp-platform-backend,FILE_DEPENDENCY,./ndsp_admin_actions_authoritative.cjs,LOW,1,backend/server.js:1067,APPENDIX_ONLY
ndsp-platform-backend,FILE_DEPENDENCY,./ndsp_admin_actions_bypass_old_middleware.cjs,MEDIUM,1,backend/server.js:1076,APPENDIX_ONLY
ndsp-platform-backend,FILE_DEPENDENCY,./ndsp_admin_actions_bypass_old_middleware.cjs,LOW,1,backend/server.js:1076,APPENDIX_ONLY
ndsp-platform-backend,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/.env,MEDIUM,1,backend/server.js:1194,APPENDIX_ONLY
ndsp-platform-backend,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/auth_api/ndsp_admin_extension.cjs,MEDIUM,1,backend/server.js:79,APPENDIX_ONLY
ndsp-platform-backend,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/auth_api/ndsp_admin_extension.cjs,LOW,1,backend/server.js:79,APPENDIX_ONLY
ndsp-platform-backend,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/auth_api/ndsp_device_guard.cjs,MEDIUM,1,backend/server.js:68,APPENDIX_ONLY
ndsp-platform-backend,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/auth_api/ndsp_device_guard.cjs,LOW,1,backend/server.js:68,APPENDIX_ONLY
ndsp-platform-backend,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/auth_api/ndsp_nowpayments.cjs,MEDIUM,1,backend/server.js:54,APPENDIX_ONLY
ndsp-platform-backend,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/auth_api/ndsp_nowpayments.cjs,LOW,1,backend/server.js:54,APPENDIX_ONLY
ndsp-platform-backend,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/auth_api/ndsp_trial_info.cjs,MEDIUM,1,backend/server.js:44,APPENDIX_ONLY
ndsp-platform-backend,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/auth_api/ndsp_trial_info.cjs,LOW,1,backend/server.js:44,APPENDIX_ONLY
ndsp-trial-clock-v163,ENVIRONMENT_REFERENCE,LEDGER_DB,HIGH,1,backend/services/ndsp-trial-clock-v163/server.py:14,APPENDIX_ONLY
ndsp-trial-clock-v164,ENVIRONMENT_REFERENCE,LEDGER_DB,HIGH,1,backend/services/ndsp-trial-clock-v164/server.py:14,APPENDIX_ONLY
ndsp-trial-register-canonical-wrapper,ENVIRONMENT_REFERENCE,NDSP_REGISTER_UPSTREAM,HIGH,1,backend/ndsp-trial-register-canonical-wrapper/server.js:9,APPENDIX_ONLY
