capability_id,method,contract,url,exit_code,http_status,time_total,content_type,error,accepted
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:9082/about,0,404,0.003813,application/json; charset=utf-8,,false
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:9083/about,0,404,0.115039,application/json; charset=utf-8,,false
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:9084/about,0,404,0.138956,application/json; charset=utf-8,,false
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:9085/about,0,404,0.117889,application/json; charset=utf-8,,false
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:9086/about,0,404,0.130973,application/json; charset=utf-8,,false
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:9087/about,0,404,0.014709,application/json; charset=utf-8,,false
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:9088/about,0,404,0.143224,application/json; charset=utf-8,,false
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:9089/about,0,404,0.083566,application/json; charset=utf-8,,false
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:9090/about,0,404,0.008810,application/json; charset=utf-8,,false
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:9091/about,0,401,0.099278,application/json; charset=utf-8,,true
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:9092/about,0,404,0.103755,application/json; charset=utf-8,,false
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:9093/about,0,404,0.104729,application/json; charset=utf-8,,false
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:9094/about,0,404,0.004536,application/json; charset=utf-8,,false
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:9095/about,0,404,0.007218,application/json; charset=utf-8,,false
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:19091/about,0,404,0.006486,application/json; charset=utf-8,,false
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:34533/about,7,000,0.000222,,curl: (7) Failed to connect to 127.0.0.1 port 34533 after 0 ms: Couldn't connect to server,false
CAP-F5C8984FC6A0,GET,/about,http://127.0.0.1:57534/about,7,000,0.000267,,curl: (7) Failed to connect to 127.0.0.1 port 57534 after 0 ms: Couldn't connect to server,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:22/contract/status,1,000,0.019487,,curl: (1) Received HTTP/0.9 when not allowed,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:25/contract/status,1,000,0.003916,,curl: (1) Received HTTP/0.9 when not allowed,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:53/contract/status,7,000,0.000252,,curl: (7) Failed to connect to 127.0.0.1 port 53 after 0 ms: Couldn't connect to server,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:80/contract/status,60,301,0.077963,text/html,"curl: (60) SSL: no alternative certificate subject name matches target host name '127.0.0.1'
More details here: https://curl.se/docs/sslcerts.html

curl failed to verify the legitimacy of the server and therefore could not
establish a secure connection to it. To learn more about this situation and
h",false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:443/contract/status,0,400,0.001099,text/html,,true
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:631/contract/status,0,404,0.002159,text/html; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:3000/contract/status,0,404,0.003786,text/html; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:3350/contract/status,7,000,0.000316,,curl: (7) Failed to connect to 127.0.0.1 port 3350 after 0 ms: Couldn't connect to server,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:3389/contract/status,1,000,0.074149,,curl: (1) Received HTTP/0.9 when not allowed,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:5353/contract/status,7,000,0.000335,,curl: (7) Failed to connect to 127.0.0.1 port 5353 after 0 ms: Couldn't connect to server,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:5432/contract/status,52,000,0.012279,,curl: (52) Empty reply from server,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:5433/contract/status,52,000,0.008429,,curl: (52) Empty reply from server,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:6379/contract/status,52,000,0.000701,,curl: (52) Empty reply from server,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:8097/contract/status,0,404,0.001724,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9001/contract/status,0,404,0.005610,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9002/contract/status,0,404,0.009467,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9017/contract/status,0,404,0.003839,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9019/contract/status,0,404,0.002361,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9020/contract/status,0,404,0.009032,text/html; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9021/contract/status,0,404,0.005122,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9022/contract/status,0,404,0.007530,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9023/contract/status,0,404,0.003727,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9024/contract/status,0,404,0.005053,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9027/contract/status,0,404,0.011976,text/html; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9028/contract/status,0,404,0.008323,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9029/contract/status,0,404,0.002463,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9030/contract/status,0,404,0.005531,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9031/contract/status,0,404,0.005285,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9033/contract/status,0,404,0.002413,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9034/contract/status,0,404,0.003984,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9041/contract/status,0,404,0.002513,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9044/contract/status,0,404,0.004848,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9047/contract/status,0,404,0.009557,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9057/contract/status,0,404,0.002368,application/json,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9061/contract/status,0,404,0.005436,application/json,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9062/contract/status,0,404,0.002516,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9064/contract/status,0,404,0.003797,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9065/contract/status,0,404,0.005367,application/json,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9066/contract/status,0,404,0.003737,application/json,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9067/contract/status,0,404,0.025002,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9068/contract/status,0,404,0.004001,application/json,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9069/contract/status,0,404,0.002376,application/json,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9070/contract/status,0,404,0.002148,application/json; charset=utf-8,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9074/contract/status,0,404,0.003866,application/json,,false
CAP-8CF3F7EFFA7B,GET,/contract/status,http://127.0.0.1:9076/contract/status,0,404,0.001828,application/json,,false
