capability_id,capability_name,source_path,source_verified,runtime_service_declared,runtime_service_match,runtime_service_status,endpoint_contract,endpoint_status,successful_probe_url,data_state,real_data_verified,calculation_verified,test_evidence,test_verified,ui_evidence,ui_verified,runtime_verified,missing_evidence,unsafe_methods_not_executed
CAP-F5C8984FC6A0,About,backend/framework/about/about.cjs,false,DISCOVERY_REQUIRED,,NOT_FOUND,GET /about,RESPONSIVE,http://127.0.0.1:443/about,REAL_SNAPSHOT,true,false,,false,,true,false,SOURCE|SERVICE|CALCULATION|TEST,
CAP-8CF3F7EFFA7B,Account Trial,backend/app/api/v1/frontend_contract.py,true,DISCOVERY_REQUIRED,,NOT_FOUND,GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health|GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health,RESPONSIVE,http://127.0.0.1:443/contract/status,UNKNOWN,false,false,,false,,false,false,SERVICE|REAL_DATA|CALCULATION|TEST|UI,POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|POST /auth/forgot|POST /auth/reset|POST /account/activate|POST /payments/checkout|POST /payments/webhook|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|POST /admin/registrations/{registration_id}/decision|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|POST /auth/forgot|POST /auth/reset|POST /account/activate|POST /payments/checkout|POST /payments/webhook|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|POST /admin/registrations/{registration_id}/decision|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject
CAP-E739D717BE35,Admin Health,backend/app/api/v1/frontend_contract.py,true,DISCOVERY_REQUIRED,,NOT_FOUND,GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health|GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health,RESPONSIVE,http://127.0.0.1:443/contract/status,UNKNOWN,false,false,,false,,false,false,SERVICE|REAL_DATA|CALCULATION|TEST|UI,POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|POST /auth/forgot|POST /auth/reset|POST /account/activate|POST /payments/checkout|POST /payments/webhook|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|POST /admin/registrations/{registration_id}/decision|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|POST /auth/forgot|POST /auth/reset|POST /account/activate|POST /payments/checkout|POST /payments/webhook|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|POST /admin/registrations/{registration_id}/decision|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject
CAP-A069C614B1B1,Admin Layers,backend/app/api/v1/frontend_contract.py,true,DISCOVERY_REQUIRED,,NOT_FOUND,GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health|GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health,RESPONSIVE,http://127.0.0.1:443/contract/status,UNKNOWN,false,false,,false,,false,false,SERVICE|REAL_DATA|CALCULATION|TEST|UI,POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|POST /auth/forgot|POST /auth/reset|POST /account/activate|POST /payments/checkout|POST /payments/webhook|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|POST /admin/registrations/{registration_id}/decision|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|POST /auth/forgot|POST /auth/reset|POST /account/activate|POST /payments/checkout|POST /payments/webhook|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|POST /admin/registrations/{registration_id}/decision|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject
CAP-6F5DF526EE59,Admin Only,backend/ndsp_admin_ui_proxy.cjs,true,ndsp-admin-ui-proxy.service,ndsp-admin-ui-proxy.service,ACTIVE,GET /api/admin-ui/health|GET /api/admin-ui/summary|GET /api/admin-ui/users|GET /api/admin-ui/payments|GET /api/admin-ui/trials|GET /api/admin-ui/packages|GET /api/admin-ui/markets|GET /api/admin-ui/alerts|POST /api/admin-ui/alerts/channel|POST /api/admin-ui/alerts/test|GET /api/admin-ui/backups|GET /api/admin-ui/governance|POST /api/admin-ui/action,RESPONSIVE,http://127.0.0.1:443/api/admin-ui/health,REAL_SNAPSHOT,true,true,,false,,false,false,TEST|UI,POST /api/admin-ui/alerts/channel|POST /api/admin-ui/alerts/test|POST /api/admin-ui/action
CAP-B2BAF38F8204,Admin Only,backend/auth_api/ndsp_admin_ui_proxy.cjs,false,ndsp-admin-ui-proxy.service,ndsp-admin-ui-proxy.service,ACTIVE,GET /api/admin-ui/health|GET /api/admin-ui/summary|GET /api/admin-ui/users|GET /api/admin-ui/payments|GET /api/admin-ui/trials|GET /api/admin-ui/packages|GET /api/admin-ui/markets|GET /api/admin-ui/alerts|POST /api/admin-ui/alerts/channel|POST /api/admin-ui/alerts/test|GET /api/admin-ui/backups|GET /api/admin-ui/governance|POST /api/admin-ui/action,RESPONSIVE,http://127.0.0.1:443/api/admin-ui/health,REAL_SNAPSHOT,true,true,,false,,false,false,SOURCE|TEST|UI,POST /api/admin-ui/alerts/channel|POST /api/admin-ui/alerts/test|POST /api/admin-ui/action
CAP-3FBDCF7CE0E5,Admin Payment Approve,backend/app/api/v1/frontend_contract.py,true,DISCOVERY_REQUIRED,,NOT_FOUND,GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health|GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health,RESPONSIVE,http://127.0.0.1:443/contract/status,UNKNOWN,false,false,,false,,false,false,SERVICE|REAL_DATA|CALCULATION|TEST|UI,POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|POST /auth/forgot|POST /auth/reset|POST /account/activate|POST /payments/checkout|POST /payments/webhook|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|POST /admin/registrations/{registration_id}/decision|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|POST /auth/forgot|POST /auth/reset|POST /account/activate|POST /payments/checkout|POST /payments/webhook|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|POST /admin/registrations/{registration_id}/decision|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject
CAP-531AC9AE3E7D,Admin Payment Reject,backend/app/api/v1/frontend_contract.py,true,DISCOVERY_REQUIRED,,NOT_FOUND,GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health|GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health,RESPONSIVE,http://127.0.0.1:443/contract/status,UNKNOWN,false,false,,false,,false,false,SERVICE|REAL_DATA|CALCULATION|TEST|UI,POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|POST /auth/forgot|POST /auth/reset|POST /account/activate|POST /payments/checkout|POST /payments/webhook|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|POST /admin/registrations/{registration_id}/decision|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|POST /auth/forgot|POST /auth/reset|POST /account/activate|POST /payments/checkout|POST /payments/webhook|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|POST /admin/registrations/{registration_id}/decision|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject
CAP-BE68902B1F61,Admin Payments,backend/app/api/v1/frontend_contract.py,true,DISCOVERY_REQUIRED,,NOT_FOUND,GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health|GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health,RESPONSIVE,http://127.0.0.1:443/contract/status,UNKNOWN,false,false,,false,,false,false,SERVICE|REAL_DATA|CALCULATION|TEST|UI,POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|POST /auth/forgot|POST /auth/reset|POST /account/activate|POST /payments/checkout|POST /payments/webhook|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|POST /admin/registrations/{registration_id}/decision|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|POST /auth/forgot|POST /auth/reset|POST /account/activate|POST /payments/checkout|POST /payments/webhook|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|POST /admin/registrations/{registration_id}/decision|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject
CAP-968B626DE9C3,Admin Registration Decision,backend/app/api/v1/frontend_contract.py,true,DISCOVERY_REQUIRED,,NOT_FOUND,GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health|GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health,RESPONSIVE,http://127.0.0.1:443/contract/status,UNKNOWN,false,false,,false,,false,false,SERVICE|REAL_DATA|CALCULATION|TEST|UI,POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|POST /auth/forgot|POST /auth/reset|POST /account/activate|POST /payments/checkout|POST /payments/webhook|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|POST /admin/registrations/{registration_id}/decision|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|POST /auth/forgot|POST /auth/reset|POST /account/activate|POST /payments/checkout|POST /payments/webhook|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|POST /admin/registrations/{registration_id}/decision|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject
