capability_id,capability_name,canonical_endpoint,data_source,data_state,runtime_url,http_status,payload_sha256,payload_bytes,root_key,root_item_count,source_file,runtime_mode,payload_values_persisted,closure_state,human_confirmation_required,ui_complete_created
CAP-4FF90CCC6DFE,Tdl V2 Policy Admin,GET /api/admin/timing_model-v2/policy,TDL_V2_POLICY_STORE,REAL_SNAPSHOT,http://127.0.0.1:58017/api/admin/timing_model-v2/policy,200,e79e6cc37c6060c12c3f9adce608af92ca6a3c1817129a952ff4d55cb3370436,254,policy,9,apps/ndsp-governance-bridge/app/core/tdl_v2_policy.py::read_tdl_v2_policy,ISOLATED_REAL_CODE,false,CLOSED_MACHINE_VERIFIED,true,false
CAP-8A9DD9B6E7D5,Tdl V2 Policy Admin,GET /api/admin/timing_model-v2/auth-debug,PROCESS_ENVIRONMENT_PRESENCE_METADATA,REAL_LIVE,http://127.0.0.1:58017/api/admin/timing_model-v2/auth-debug,200,3af47b742a2ff8cc70a1402047183d98123de1a9ea57b6622bb0c38f8dc1febe,166,env_present,3,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py::auth_debug,ISOLATED_REAL_CODE,false,CLOSED_MACHINE_VERIFIED,true,false
