ID	RouteType	PathGuess	SourcePath	SourceLine	SHA256	Snippet	Classification	Notes
UIR-000001	SOURCE_UI_ROUTE_CANDIDATE	https://fonts.googleapis.com	apps/admin-console/NDSP_Admin_Console.html	8	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"<link rel=""preconnect"" href=""https://fonts.googleapis.com"">"	INFERRED_FROM_SOURCE	Manual verification required
UIR-000002	SOURCE_UI_ROUTE_CANDIDATE	https://fonts.gstatic.com	apps/admin-console/NDSP_Admin_Console.html	9	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"<link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin>"	INFERRED_FROM_SOURCE	Manual verification required
UIR-000003	SOURCE_UI_ROUTE_CANDIDATE	https://fonts.googleapis.com/css2?family=Reem+Kufi:wght@400;500;600;700&family=IBM+Plex+Sans+Arabic:wght@300;400;500;600;700&family=IBM+Plex+Mono:wght@400;500;600&family=Sora:wght@300;400;600;700&display=swap	apps/admin-console/NDSP_Admin_Console.html	10	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"<link href=""https://fonts.googleapis.com/css2?family=Reem+Kufi:wght@400;500;600;700&family=IBM+Plex+Sans+Arabic:wght@300;400;500;600;700&family=IBM+Plex+Mono:wght@400;500;600&family=Sora:wght@300;400;600;700&display=swap"" rel=""stylesheet"">"	INFERRED_FROM_SOURCE	Manual verification required
UIR-000004	SOURCE_UI_ROUTE_CANDIDATE	ndsp-hud-theme.css	apps/admin-console/NDSP_Admin_Console.html	166	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"<link rel=""stylesheet"" href=""ndsp-hud-theme.css"">"	INFERRED_FROM_SOURCE	Manual verification required
UIR-000005	SOURCE_UI_ROUTE_CANDIDATE	NDSP_Admin_Operations_Center.html	apps/admin-console/NDSP_Admin_Console.html	168	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"<body dir=""ltr""><div style=""margin:16px 0""><a href=""NDSP_Admin_Operations_Center.html"" style=""color:#d4af37;font-weight:800"">فتح مركز عمليات الإدارة الجديد</a></div>"	INFERRED_FROM_SOURCE	Manual verification required
UIR-000006	SOURCE_UI_ROUTE_CANDIDATE	#hunterSeal	apps/admin-console/NDSP_Admin_Console.html	171	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"<svg class=""seal-wm"" viewBox=""0 0 240 240"" aria-hidden=""true""><use href=""#hunterSeal""/></svg>"	INFERRED_FROM_SOURCE	Manual verification required
UIR-000007	SOURCE_UI_ROUTE_CANDIDATE	#arcTop	apps/admin-console/NDSP_Admin_Console.html	182	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"<text font-family=""IBM Plex Mono,monospace"" font-size=""15"" letter-spacing=""6"" fill=""#D9B65A""><textPath href=""#arcTop"" startOffset=""50%"" text-anchor=""middle"">HUNTER</textPath></text>"	INFERRED_FROM_SOURCE	Manual verification required
UIR-000008	SOURCE_UI_ROUTE_CANDIDATE	#arcBot	apps/admin-console/NDSP_Admin_Console.html	183	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"<text font-family=""IBM Plex Mono,monospace"" font-size=""13"" letter-spacing=""5"" fill=""#D9B65A""><textPath href=""#arcBot"" startOffset=""50%"" text-anchor=""middle"">KSA · 1</textPath></text>"	INFERRED_FROM_SOURCE	Manual verification required
UIR-000009	SOURCE_UI_ROUTE_CANDIDATE	#hunterSeal	apps/admin-console/NDSP_Admin_Console.html	190	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"<svg viewBox=""0 0 240 240""><use href=""#hunterSeal""/></svg>"	INFERRED_FROM_SOURCE	Manual verification required
UIR-000010	SOURCE_UI_ROUTE_CANDIDATE	/ndsp-admin-mobile-fix.css?v=mobile-final	apps/admin-console/NDSP_Admin_Operations_Center.html	66	d75d3c39fadc28ded22dbe077fcfe7c088508b164bb851fa4fe367a5aa8a2169	"<link rel=""stylesheet"" href=""/ndsp-admin-mobile-fix.css?v=mobile-final"">"	INFERRED_FROM_SOURCE	Manual verification required
