ID	Category	Classification	SourcePath	SourceFile	SourceLines	SHA256	Snippet	Notes
EVD-9ccb5e3ec17b	CAPABILITY_DISCOVERY	INFERRED_FROM_SOURCE	.github/workflows/ndsp-project-validator.yml	ndsp-project-validator.yml	7	a900043a8d74aa1ac1ce1059637e79166e52c23f956f11a0ff5d501e1cc24c3f	- feature/ndsp-os	Candidate evidence only; manual verification required.
EVD-8958e6444b24	CAPABILITY_DISCOVERY	INFERRED_FROM_SOURCE	.github/workflows/ndsp-project-validator.yml	ndsp-project-validator.yml	11	a900043a8d74aa1ac1ce1059637e79166e52c23f956f11a0ff5d501e1cc24c3f	- feature/ndsp-os	Candidate evidence only; manual verification required.
EVD-9c64a26eda17	CAPABILITY_DISCOVERY	DOCUMENTATION_ONLY	NDSP_UI_CHANGE_GOVERNANCE_FINAL.md	NDSP_UI_CHANGE_GOVERNANCE_FINAL.md	71	801cbc06a990e0f6752463f5051fa950c54c388571070e85f6f6491b6dc9e524	أي ميزة UI جديدة تبدأ كصفحة مستقلة أولًا.	Candidate evidence only; manual verification required.
EVD-8857b0c61a0c	CAPABILITY_DISCOVERY	DOCUMENTATION_ONLY	NDSP_UI_CHANGE_GOVERNANCE_FINAL.md	NDSP_UI_CHANGE_GOVERNANCE_FINAL.md	182	801cbc06a990e0f6752463f5051fa950c54c388571070e85f6f6491b6dc9e524	- أي ميزة جديدة تبدأ مستقلة.	Candidate evidence only; manual verification required.
EVD-c45d642635a4	CAPABILITY_DISCOVERY	INFERRED_FROM_SOURCE	apps/admin-console/NDSP_Admin_Console.html	NDSP_Admin_Console.html	25	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	".mono{font-family:""IBM Plex Mono"",monospace;font-feature-settings:""tnum"" 1}"	Candidate evidence only; manual verification required.
EVD-60fb1e551a11	CAPABILITY_DISCOVERY	INFERRED_FROM_SOURCE	apps/admin-console/NDSP_Admin_Console.html	NDSP_Admin_Console.html	778	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"<th data-i=""thFeature"">الميزة</th><th>Free</th><th>Pro</th><th class=""b-gold"" style=""color:var(--gold-bright)"">Elite</th><th data-i=""thInst"">Institutional</th>"	Candidate evidence only; manual verification required.
EVD-41d16860e56f	CAPABILITY_DISCOVERY	INFERRED_FROM_SOURCE	apps/admin-console/NDSP_Admin_Console.html	NDSP_Admin_Console.html	1286	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"thSignals:""إشارات آمنة"",thAction:""إجراء"",thFeature:""الميزة"",thInst:""المؤسسية"",thMethod:""الطريقة"",thAmount:""المبلغ"",thState:""الحالة"","	Candidate evidence only; manual verification required.
EVD-528a21333fc2	CAPABILITY_DISCOVERY	INFERRED_FROM_SOURCE	apps/admin-console/NDSP_Admin_Console.html	NDSP_Admin_Console.html	1321	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"thSignals:""Safe signals"",thAction:""Action"",thFeature:""Feature"",thInst:""Institutional"",thMethod:""Method"",thAmount:""Amount"",thState:""State"","	Candidate evidence only; manual verification required.
EVD-9355570b4b07	CAPABILITY_DISCOVERY	INFERRED_FROM_SOURCE	apps/admin-console/NDSP_Design_System.html	NDSP_Design_System.html	25	1bb4620782bbd017e39655ed01129a2acc368e9c79addf98e42aa6e8dc2a1049	".mono{font-family:""IBM Plex Mono"",monospace;font-feature-settings:""tnum"" 1}"	Candidate evidence only; manual verification required.
EVD-dc51a4f80273	CAPABILITY_DISCOVERY	INFERRED_FROM_SOURCE	apps/admin-console/NDSP_Design_System.html	NDSP_Design_System.html	213	1bb4620782bbd017e39655ed01129a2acc368e9c79addf98e42aa6e8dc2a1049	"<span data-i=""note5"">• الأرقام بخط Mono مع <code>font-feature-settings:""tnum""</code> لمحاذاة ثابتة.</span>"	Candidate evidence only; manual verification required.
