ID	Category	Classification	SourcePath	SourceFile	SourceLines	SHA256	Snippet	Notes
EVD-71463151c8d2	LAYER_DISCOVERY	INFERRED_FROM_SOURCE	apps/admin-console/NDSP_Admin_Console.html	NDSP_Admin_Console.html	120	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	/* layer governance */	Candidate evidence only; manual verification required.
EVD-f29c6e73924b	LAYER_DISCOVERY	INFERRED_FROM_SOURCE	apps/admin-console/NDSP_Admin_Console.html	NDSP_Admin_Console.html	202	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"<div class=""navitem"" data-v=""layers""><span class=""ic"">⬡</span><span data-i=""nLayers"">حوكمة الطبقات</span></div>"	Candidate evidence only; manual verification required.
EVD-da53c12be974	LAYER_DISCOVERY	INFERRED_FROM_SOURCE	apps/admin-console/NDSP_Admin_Console.html	NDSP_Admin_Console.html	241	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"<div class=""card-h""><div class=""t""><span class=""ic"">⬡</span><span data-i=""layerStatus"">حالة حوكمة الطبقات</span></div></div>"	Candidate evidence only; manual verification required.
EVD-3a1e5793b128	LAYER_DISCOVERY	INFERRED_FROM_SOURCE	apps/admin-console/NDSP_Admin_Console.html	NDSP_Admin_Console.html	243	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"<div class=""hcell""><div class=""k"" data-i=""lcTotal"">إجمالي الطبقات</div><div class=""v"">١٦</div><div class=""st""><span class=""badge b-info"" data-i=""lcActive"">كلها تشارك</span></div></div>"	Candidate evidence only; manual verification required.
EVD-905e51f780ee	LAYER_DISCOVERY	INFERRED_FROM_SOURCE	apps/admin-console/NDSP_Admin_Console.html	NDSP_Admin_Console.html	247	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"<div class=""muted-note"" data-i=""layerNote""><b>قاعدة:</b> لا كشف للأسماء أو الترتيب أو طرق الحساب الداخلية أو المعاملات الداخلية. العرض = قيمة منقّحة فقط.</div>"	Candidate evidence only; manual verification required.
EVD-bc99e39d8cb0	LAYER_DISCOVERY	INFERRED_FROM_SOURCE	apps/admin-console/NDSP_Admin_Console.html	NDSP_Admin_Console.html	273	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"""ENGINE & GOVERNANCE"":""المحركات والحوكمة"",""Layer Governance"":""حوكمة الطبقات"",""NMP Research Lab"":""مختبر أبحاث NMP"","	Candidate evidence only; manual verification required.
EVD-529fdb54d506	LAYER_DISCOVERY	INFERRED_FROM_SOURCE	apps/admin-console/NDSP_Admin_Console.html	NDSP_Admin_Console.html	368	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"[""Overview"",""Users"",""Trials"",""Registration Review"",""Packages"",""Payments"",""Layer Governance"",""NMP Research Lab"",""Health"",""Reports"",""Backups"",""نظرة عامة"",""المستخدمون"",""التجارب"",""الباقات"",""المدفوعات""].forEach(function(x){"	Candidate evidence only; manual verification required.
EVD-1b376343bda4	LAYER_DISCOVERY	INFERRED_FROM_SOURCE	apps/admin-console/NDSP_Admin_Console.html	NDSP_Admin_Console.html	941	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	<!-- ===== LAYER GOVERNANCE ===== -->	Candidate evidence only; manual verification required.
EVD-b170e04d87aa	LAYER_DISCOVERY	INFERRED_FROM_SOURCE	apps/admin-console/NDSP_Admin_Console.html	NDSP_Admin_Console.html	942	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"<section class=""view"" data-view=""layers"">"	Candidate evidence only; manual verification required.
EVD-333a76f049be	LAYER_DISCOVERY	INFERRED_FROM_SOURCE	apps/admin-console/NDSP_Admin_Console.html	NDSP_Admin_Console.html	945	fc9c20b3222082bc132b6e4ab02b1305e23918b455e37b36829ec1c28b3a6c49	"<div class=""card-h""><div class=""t""><span class=""ic"">⬡</span><span data-i=""visibleLayers"">الطبقات الأربع الظاهرة</span></div></div>"	Candidate evidence only; manual verification required.
