ID	TechnologyArea	SourcePath	DetectedItem	VersionOrValue	EvidenceType	SHA256	Notes
TEC-000001	config	Dockerfile	Dockerfile	PRESENT	file inventory	da8ecca1c38ece2f630febb87ce78b7a2020e1aebd0b1b9f734d0fa0db044032	Configuration file detected
TEC-000002	python	apps/ndsp-layers-api/requirements.txt	fastapi	SEE_LINE	python config	ba560a3c64a98d7beaa959974c33de69b938fce9678958b093e1ada5cf9dd87a	No install performed
TEC-000003	python	apps/ndsp-layers-api/requirements.txt	uvicorn[standard]	SEE_LINE	python config	ba560a3c64a98d7beaa959974c33de69b938fce9678958b093e1ada5cf9dd87a	No install performed
TEC-000004	python	apps/ndsp-layers-api/requirements.txt	pydantic	SEE_LINE	python config	ba560a3c64a98d7beaa959974c33de69b938fce9678958b093e1ada5cf9dd87a	No install performed
TEC-000005	python	apps/ndsp-raw-cot-gateway/requirements.txt	fastapi	SEE_LINE	python config	72b7dd981782e40c30a580b5bc5233a96ece788ba1e69d7686917830d40ee106	No install performed
TEC-000006	python	apps/ndsp-raw-cot-gateway/requirements.txt	uvicorn[standard]	SEE_LINE	python config	72b7dd981782e40c30a580b5bc5233a96ece788ba1e69d7686917830d40ee106	No install performed
TEC-000007	dependencies	backend/framework/package.json	express	^4.22.2	package.json	6424bbfbb32b3cb4e2efaa263c2d2b7381d17121eec570f33bccb520c7b49232	No install performed
TEC-000008	dependencies	backend/framework/package.json	cors	^2.8.5	package.json	6424bbfbb32b3cb4e2efaa263c2d2b7381d17121eec570f33bccb520c7b49232	No install performed
TEC-000009	dependencies	backend/framework/package.json	helmet	^7.1.0	package.json	6424bbfbb32b3cb4e2efaa263c2d2b7381d17121eec570f33bccb520c7b49232	No install performed
TEC-000010	dependencies	backend/ndsp-access-guard-9024/package.json	cookie	^0.6.0	package.json	ce3ebd3bd91ec6a8bdeabfd94d63e0e906e5dccc672f356f7cc303246e4dd747	No install performed
TEC-000011	dependencies	backend/ndsp-access-guard-9024/package.json	pg	^8.13.1	package.json	ce3ebd3bd91ec6a8bdeabfd94d63e0e906e5dccc672f356f7cc303246e4dd747	No install performed
TEC-000012	dependencies	backend/ndsp-access-guard-final/package.json	bcryptjs	^3.0.3	package.json	4a15deb738b1c733b0e86131f1450e8f64fb1ff5dc8bfb32eaaf80d5e4f0b921	No install performed
TEC-000013	dependencies	backend/ndsp-access-guard-final/package.json	cookie	^0.6.0	package.json	4a15deb738b1c733b0e86131f1450e8f64fb1ff5dc8bfb32eaaf80d5e4f0b921	No install performed
TEC-000014	dependencies	backend/ndsp-access-guard-final/package.json	pg	^8.21.0	package.json	4a15deb738b1c733b0e86131f1450e8f64fb1ff5dc8bfb32eaaf80d5e4f0b921	No install performed
TEC-000015	dependencies	backend/ndsp-access-guard/package.json	cookie	^0.6.0	package.json	8358a43dda21d5a345c953f4a1a8cb8d5f6482e3aa70f5c945a6a3b144462a17	No install performed
TEC-000016	dependencies	backend/ndsp-access-guard/package.json	pg	^8.13.1	package.json	8358a43dda21d5a345c953f4a1a8cb8d5f6482e3aa70f5c945a6a3b144462a17	No install performed
TEC-000017	dependencies	backend/ndsp-trial-register-canonical-wrapper/package.json	bcryptjs	^2.4.3	package.json	23d1aadedfe6ac2291d28dff05af08ff111be0fe3d74b67ec68e1d9e19e2e4b5	No install performed
TEC-000018	dependencies	backend/ndsp-trial-register-canonical-wrapper/package.json	pg	^8.12.0	package.json	23d1aadedfe6ac2291d28dff05af08ff111be0fe3d74b67ec68e1d9e19e2e4b5	No install performed
TEC-000019	dependencies	backend/package.json	bcryptjs	^2.4.3	package.json	79d74b48ba4f010eaf44060ca6d7a6a174c5d8bf29ad8266b84bd966dfcf1adb	No install performed
TEC-000020	dependencies	backend/package.json	cors	^2.8.5	package.json	79d74b48ba4f010eaf44060ca6d7a6a174c5d8bf29ad8266b84bd966dfcf1adb	No install performed
TEC-000021	dependencies	backend/package.json	dotenv	^16.6.1	package.json	79d74b48ba4f010eaf44060ca6d7a6a174c5d8bf29ad8266b84bd966dfcf1adb	No install performed
TEC-000022	dependencies	backend/package.json	express	^4.22.2	package.json	79d74b48ba4f010eaf44060ca6d7a6a174c5d8bf29ad8266b84bd966dfcf1adb	No install performed
TEC-000023	dependencies	backend/package.json	helmet	^7.1.0	package.json	79d74b48ba4f010eaf44060ca6d7a6a174c5d8bf29ad8266b84bd966dfcf1adb	No install performed
TEC-000024	dependencies	backend/package.json	jsonwebtoken	^9.0.3	package.json	79d74b48ba4f010eaf44060ca6d7a6a174c5d8bf29ad8266b84bd966dfcf1adb	No install performed
TEC-000025	dependencies	backend/package.json	otplib	^13.4.1	package.json	79d74b48ba4f010eaf44060ca6d7a6a174c5d8bf29ad8266b84bd966dfcf1adb	No install performed
TEC-000026	dependencies	backend/package.json	pg	^8.21.0	package.json	79d74b48ba4f010eaf44060ca6d7a6a174c5d8bf29ad8266b84bd966dfcf1adb	No install performed
TEC-000027	dependencies	backend/package.json	qrcode	^1.5.4	package.json	79d74b48ba4f010eaf44060ca6d7a6a174c5d8bf29ad8266b84bd966dfcf1adb	No install performed
TEC-000028	dependencies	backend/package.json	speakeasy	^2.0.0	package.json	79d74b48ba4f010eaf44060ca6d7a6a174c5d8bf29ad8266b84bd966dfcf1adb	No install performed
TEC-000029	dependencies	backend/password_reset_gateway/package.json	bcrypt	6.0.0	package.json	97e9aafd6c087cfe7e2edbd316ea457bbe50ab8ef394b70bcd04eb9e9bc4bef4	No install performed
TEC-000030	dependencies	backend/password_reset_gateway/package.json	express	^4.18.3	package.json	97e9aafd6c087cfe7e2edbd316ea457bbe50ab8ef394b70bcd04eb9e9bc4bef4	No install performed
TEC-000031	dependencies	backend/password_reset_gateway/package.json	nodemailer	9.0.3	package.json	97e9aafd6c087cfe7e2edbd316ea457bbe50ab8ef394b70bcd04eb9e9bc4bef4	No install performed
TEC-000032	dependencies	backend/password_reset_gateway/package.json	pg	^8.11.5	package.json	97e9aafd6c087cfe7e2edbd316ea457bbe50ab8ef394b70bcd04eb9e9bc4bef4	No install performed
TEC-000033	dependencies	backend/services/bot_execution/package.json	express	^4.22.2	package.json	60e8cede6d375f8373088864a541eea56c693ee6c3563100c27c92dd83f71ebd	No install performed
TEC-000034	dependencies	backend/services/bot_execution/package.json	cors	^2.8.5	package.json	60e8cede6d375f8373088864a541eea56c693ee6c3563100c27c92dd83f71ebd	No install performed
TEC-000035	dependencies	backend/services/bot_execution/package.json	helmet	^7.1.0	package.json	60e8cede6d375f8373088864a541eea56c693ee6c3563100c27c92dd83f71ebd	No install performed
TEC-000036	dependencies	backend/services/completed_decision/package.json	express	^4.22.2	package.json	37bb33f88c2c705595452fa30833720d705ec53e12c69c0fa5c22be10d87c10b	No install performed
TEC-000037	dependencies	backend/services/completed_decision/package.json	cors	^2.8.5	package.json	37bb33f88c2c705595452fa30833720d705ec53e12c69c0fa5c22be10d87c10b	No install performed
TEC-000038	dependencies	backend/services/completed_decision/package.json	helmet	^7.1.0	package.json	37bb33f88c2c705595452fa30833720d705ec53e12c69c0fa5c22be10d87c10b	No install performed
TEC-000039	dependencies	backend/services/completed_decision/package.json	pg	^8.21.0	package.json	37bb33f88c2c705595452fa30833720d705ec53e12c69c0fa5c22be10d87c10b	No install performed
TEC-000040	dependencies	backend/services/decision_governance_core/package.json	express	^4.22.2	package.json	7d60a92c62f54ad34d012cddaf0be90ba7d003e5d896ce952311d86187798558	No install performed
TEC-000041	dependencies	backend/services/decision_governance_core/package.json	cors	^2.8.5	package.json	7d60a92c62f54ad34d012cddaf0be90ba7d003e5d896ce952311d86187798558	No install performed
TEC-000042	dependencies	backend/services/decision_governance_core/package.json	helmet	^7.1.0	package.json	7d60a92c62f54ad34d012cddaf0be90ba7d003e5d896ce952311d86187798558	No install performed
TEC-000043	dependencies	frontend/public-site/package.json	i18next	^26.2.0	package.json	9b3241628a650e5ebd4e5a5a6d5b6eaf4f3719b7e65f4e4d0125ac67fed963e5	No install performed
TEC-000044	dependencies	frontend/public-site/package.json	i18next-browser-languagedetector	^8.2.1	package.json	9b3241628a650e5ebd4e5a5a6d5b6eaf4f3719b7e65f4e4d0125ac67fed963e5	No install performed
TEC-000045	dependencies	frontend/public-site/package.json	react-i18next	^17.0.8	package.json	9b3241628a650e5ebd4e5a5a6d5b6eaf4f3719b7e65f4e4d0125ac67fed963e5	No install performed
TEC-000046	devDependencies	frontend/public-site/package.json	@tailwindcss/vite	^4.1.0	package.json	9b3241628a650e5ebd4e5a5a6d5b6eaf4f3719b7e65f4e4d0125ac67fed963e5	No install performed
TEC-000047	devDependencies	frontend/public-site/package.json	@types/node	^22.0.0	package.json	9b3241628a650e5ebd4e5a5a6d5b6eaf4f3719b7e65f4e4d0125ac67fed963e5	No install performed
TEC-000048	devDependencies	frontend/public-site/package.json	@types/react	^19.0.0	package.json	9b3241628a650e5ebd4e5a5a6d5b6eaf4f3719b7e65f4e4d0125ac67fed963e5	No install performed
TEC-000049	devDependencies	frontend/public-site/package.json	@types/react-dom	^19.0.0	package.json	9b3241628a650e5ebd4e5a5a6d5b6eaf4f3719b7e65f4e4d0125ac67fed963e5	No install performed
TEC-000050	devDependencies	frontend/public-site/package.json	@vitejs/plugin-react	^4.4.0	package.json	9b3241628a650e5ebd4e5a5a6d5b6eaf4f3719b7e65f4e4d0125ac67fed963e5	No install performed
TEC-000051	devDependencies	frontend/public-site/package.json	lucide-react	^0.487.0	package.json	9b3241628a650e5ebd4e5a5a6d5b6eaf4f3719b7e65f4e4d0125ac67fed963e5	No install performed
TEC-000052	devDependencies	frontend/public-site/package.json	react	^19.0.0	package.json	9b3241628a650e5ebd4e5a5a6d5b6eaf4f3719b7e65f4e4d0125ac67fed963e5	No install performed
TEC-000053	devDependencies	frontend/public-site/package.json	react-dom	^19.0.0	package.json	9b3241628a650e5ebd4e5a5a6d5b6eaf4f3719b7e65f4e4d0125ac67fed963e5	No install performed
