batch_id,capability_id,capability_name,p0_signature,closure_state,selected_evidence_paths,service_gap_remaining,endpoint_gap_remaining,real_data_gap_remaining,human_confirmation_required,ui_complete_created
B16_SERVICE_ONLY,CAP-4B8CAC6792AE,Ndsp User Portal Final Experience V1 One Script,SERVICE_ONLY,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B16_SERVICE_ONLY,CAP-4C3B7B99A4A6,Nowpayments Create Alias,SERVICE_ONLY,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B16_SERVICE_ONLY,CAP-5F34508D1D07,User Operational Compat,SERVICE_ONLY,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B16_SERVICE_ONLY,CAP-6FE68AAF4F33,Telegram Routing Internal,SERVICE_ONLY,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B16_SERVICE_ONLY,CAP-70C19D24087E,Ndsp Nowpayments,SERVICE_ONLY,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B16_SERVICE_ONLY,CAP-70F625B28F63,Alert Prefs Post,SERVICE_ONLY,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B16_SERVICE_ONLY,CAP-7AF5F3CAE976,Ndsp Nowpayments,SERVICE_ONLY,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B16_SERVICE_ONLY,CAP-8CF43007F5CD,Telegram Routing V2,SERVICE_ONLY,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B16_SERVICE_ONLY,CAP-945D34B96341,User Operational Compat,SERVICE_ONLY,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B16_SERVICE_ONLY,CAP-9EAA6B9BF2BC,User Operational Compat,SERVICE_ONLY,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B16_SERVICE_ONLY,CAP-A194414E26E2,Telegram Routing Admin,SERVICE_ONLY,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B16_SERVICE_ONLY,CAP-A34761515678,Framework Adapter,SERVICE_ONLY,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B16_SERVICE_ONLY,CAP-AD97D3157EBD,Ndsp User Portal Final Experience V1 One Script,SERVICE_ONLY,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B16_SERVICE_ONLY,CAP-B2ADCE8E14C1,Ndsp User Portal Final Experience V1 One Script,SERVICE_ONLY,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
