status,path,exists_locally,is_file,size_bytes,classification,classification_reason
 M,README.md,true,true,296,HUMAN_REVIEW,unclassified
 M,apps/ndsp-raw-cot-gateway/app.py,true,true,11749,SOURCE_CANDIDATE,allowed_source_path
 M,backend/app/runtime/ndsp_quality_live_golden_wrapper.py,true,true,11349,SOURCE_CANDIDATE,allowed_source_path
 M,backend/auth_api/ndsp_platform_gateway_9001.cjs,true,true,30755,SOURCE_CANDIDATE,allowed_source_path
 M,backend/auth_api/ndsp_user_dashboard_gateway.cjs,true,true,10231,SOURCE_CANDIDATE,allowed_source_path
 M,backend/auth_api/ndsp_user_login_gateway.cjs,true,true,51155,SOURCE_CANDIDATE,allowed_source_path
 M,backend/data/raw_cot/current_disaggregated_futures_only_f_disagg.txt,true,true,443610,HUMAN_REVIEW,unclassified
 M,backend/data/raw_cot/current_tff_futures_only_FinFutWk.txt,true,true,69682,HUMAN_REVIEW,unclassified
 M,backend/data/raw_cot/raw_cot_manifest.json,true,true,810,SOURCE_CANDIDATE,allowed_source_path
 M,backend/layers/layer_orchestrator.py,true,true,3740,SOURCE_CANDIDATE,allowed_source_path
 M,backend/ndsp-live-decision-quality/server.py,true,true,53757,SOURCE_CANDIDATE,allowed_source_path
 M,backend/password_reset_gateway/package-lock.json,true,true,36459,SOURCE_CANDIDATE,allowed_source_path
 M,backend/password_reset_gateway/package.json,true,true,229,SOURCE_CANDIDATE,allowed_source_path
 M,backend/password_reset_gateway/server.js,true,true,5778,SOURCE_CANDIDATE,allowed_source_path
 M,backend/server.js,true,true,44616,SOURCE_CANDIDATE,allowed_source_path
 M,frontend/user-portal-vite/index.html,true,true,24540,HUMAN_REVIEW,unclassified
 M,frontend/user-portal-vite/src/hooks/useMarket.js,true,true,3170,SOURCE_CANDIDATE,allowed_source_path
 M,frontend/user-portal-vite/src/main.jsx,true,true,39965,SOURCE_CANDIDATE,allowed_source_path
 M,frontend/user-portal-vite/src/styles.css,true,true,17479,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/BACKUP_EVIDENCE.txt,true,true,4169,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/BASELINE_REPORT.md,true,true,680,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/DATABASE_REFERENCES.txt,true,true,84145,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/DEPLOYMENT_FILES.txt,true,true,2791,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/DOCKER_COMPOSE_PROJECTS.txt,true,true,170,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/DOCKER_NETWORKS.txt,true,true,427,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/DOCKER_PS.txt,true,true,440,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/DOCKER_PS_ALL.txt,true,true,1328,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/DOCKER_VOLUMES.txt,true,true,245,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/GIT_BASELINE.txt,true,true,376385,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/GIT_TRACKED_FILES.txt,true,true,59074,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/HEALTH_ENDPOINT_REFERENCES.txt,true,true,242251,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/HOST_DATE_UTC.txt,true,true,56,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/HOST_DISK.txt,true,true,517,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/HOST_ID.txt,true,true,120,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/HOST_MEMORY.txt,true,true,218,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/HOST_UNAME.txt,true,true,139,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/HOST_UPTIME.txt,true,true,80,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/NGINX_COMPILED_CONFIG.txt,true,true,689,HUMAN_REVIEW,unclassified
??,.ndsp-evidence/phase-0-20260731T073301Z/NGINX_PATHS.txt,true,true,1860,HUMAN_REVIEW,unclassified
