path,type,size_bytes,mode,owner,group,symlink_target
/opt/backups,DIRECTORY,4096,0o755,1000,1000,
/opt/brave.com,DIRECTORY,4096,0o755,0,0,
/opt/containerd,DIRECTORY,4096,0o711,0,0,
/opt/deepclean_ndip.sh,FILE,3303,0o755,0,0,
/opt/empire-backups,DIRECTORY,4096,0o755,0,0,
/opt/empire-core-backup,DIRECTORY,4096,0o755,0,0,
/opt/empire-core.broken.1776325777,DIRECTORY,4096,0o755,1000,1000,
/opt/empire.bak,DIRECTORY,4096,0o755,0,0,
/opt/execution-engine,DIRECTORY,4096,0o755,0,0,
/opt/fix_engine_names.sh,FILE,278,0o755,0,0,
/opt/fix_intelligence_layer.sh,FILE,463,0o755,0,0,
/opt/fix_missing_run_functions.sh,FILE,771,0o755,0,0,
/opt/metasploit-framework,DIRECTORY,4096,0o755,0,0,
/opt/ndip-backups,DIRECTORY,4096,0o750,1000,1000,
/opt/ndip_clean_backup_20260418_201018.tar.gz,FILE,107456385,0o644,0,0,
/opt/ndsp,DIRECTORY,4096,0o755,0,0,
/opt/ndsp-admin-user-ops,DIRECTORY,4096,0o755,0,0,
/opt/ndsp-archive,DIRECTORY,4096,0o755,0,0,
/opt/ndsp-archive-app,DIRECTORY,4096,0o755,0,0,
/opt/ndsp-auth-core-clean,DIRECTORY,4096,0o755,0,0,
/opt/ndsp-change-password-gateway,DIRECTORY,4096,0o755,0,0,
/opt/ndsp-commercial-auth-payment-staging,DIRECTORY,4096,0o750,0,980,
/opt/ndsp-current-user-display,DIRECTORY,4096,0o755,0,0,
/opt/ndsp-decision-package-v1,DIRECTORY,4096,0o755,0,0,
/opt/ndsp-market-data-bridge-v2,DIRECTORY,4096,0o755,0,0,
/opt/ndsp-news-ticker,DIRECTORY,4096,0o755,1000,1000,
/opt/ndsp-platform-gateway-9002,DIRECTORY,4096,0o755,0,0,
/opt/ndsp-public-summary-v548,DIRECTORY,4096,0o755,0,0,
/opt/ndsp-registration-mailer-v12-1,DIRECTORY,4096,0o755,0,0,
/opt/ndsp-ui-bridge-api,DIRECTORY,4096,0o755,0,0,
/opt/ndsp-v3-portal-gateway,DIRECTORY,4096,0o755,0,0,
/opt/ndsp-v471-react-gold-portal_20260701_173443,DIRECTORY,4096,0o755,1000,1000,
/opt/ndsp-v52-contract,DIRECTORY,4096,0o755,0,0,
