file,line,directive,value
/etc/nginx/nginx.conf,4,include,/etc/nginx/modules-enabled/*.conf
/etc/nginx/nginx.conf,14,include,/etc/nginx/mime.types
/etc/nginx/nginx.conf,21,include,/etc/nginx/conf.d/*.conf
/etc/nginx/nginx.conf,22,include,/etc/nginx/sites-enabled/*
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,67,include,/etc/nginx/snippets/ndsp-governance-44-v26.conf
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,69,root,/var/www/ndsp-my
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,72,ssl_certificate,/etc/letsencrypt/live/my.ndsp.app/fullchain.pem
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,73,ssl_certificate_key,/etc/letsencrypt/live/my.ndsp.app/privkey.pem
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,88,proxy_pass,https://api.ndsp.app/api/
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,171,alias,/var/www/ndsp-my/portal-v50/config/assets.json
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,177,alias,/var/www/ndsp-my/portal-v50/config/layers.json
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,183,alias,/var/www/ndsp-my/portal-v50/config/capabilities.json
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,202,proxy_pass,http://127.0.0.1:9090/api/register
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,215,proxy_pass,http://127.0.0.1:9090/api/trial/status
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,229,proxy_pass,http://127.0.0.1:9090/api/trial/seats
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,239,proxy_pass,http://127.0.0.1:9090/api/launch/status
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,249,proxy_pass,http://127.0.0.1:9090/api/entitlements/me
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,268,proxy_pass,http://127.0.0.1:9090/api/auth/decision-room-access
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,294,root,/var/www/ndsp-my
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,301,alias,/var/www/ndsp-my/assets/ndsp-telegram-v182.css
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,307,alias,/var/www/ndsp-my/assets/ndsp-telegram-v182.js
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,313,alias,/var/www/ndsp-my/assets/ndsp-telegram-entry-v182.js
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,319,proxy_pass,http://127.0.0.1:9091
/etc/nginx/conf.d/000-000-my-ndsp-app-clean-golden.conf,332,include,/etc/nginx/snippets/ndsp-business-ops-v205.conf
