unit,fragment_path,exec_start,working_directory,environment_files,user,group,active_state,sub_state
decisionos-backend.service,/etc/systemd/system/decisionos-backend.service,{ path=/opt/decisionos/backend/venv/bin/uvicorn ; argv[]=/opt/decisionos/backend/venv/bin/uvicorn main:app --host 0.0.0.0 --port 9103 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/decisionos/backend,,root,,inactive,dead
empire-binance-feed.service,/etc/systemd/system/empire-binance-feed.service,{ path=/opt/empire-core/backend/venv/bin/python ; argv[]=/opt/empire-core/backend/venv/bin/python app/binance_feed.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/empire-core/backend,,root,,inactive,dead
empire-ndip-api.service,/etc/systemd/system/empire-ndip-api.service,{ path=/opt/empire-core/backend/venv/bin/python ; argv[]=/opt/empire-core/backend/venv/bin/python -m uvicorn app.main:app --host 127.0.0.1 --port 9001 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/empire-core/backend,,root,,inactive,dead
empire-webhook.service,/etc/systemd/system/empire-webhook.service,{ path=/opt/empire/webhooks/universal/venv/bin/uvicorn ; argv[]=/opt/empire/webhooks/universal/venv/bin/uvicorn app:app --host 127.0.0.1 --port 9100 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/empire/webhooks/universal,,nawaf511,,inactive,dead
ndip-telegram-decision-worker.service,/etc/systemd/system/ndip-telegram-decision-worker.service,{ path=/home/nawaf511/empire-core-new/backend/venv/bin/python ; argv[]=/home/nawaf511/empire-core-new/backend/venv/bin/python -m app.workers.telegram_decision_worker ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend,/home/nawaf511/empire-core-new/backend/.env (ignore_errors=no),nawaf511,,inactive,dead
ndsp-16-layers.service,/etc/systemd/system/ndsp-16-layers.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /opt/ndsp16-api/server.js ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/ndsp16-api,,nawaf511,,active,running
ndsp-access-guard-9024.service,/etc/systemd/system/ndsp-access-guard-9024.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp-access-guard-9024/server.js ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/ndsp-access-guard-9024,,nawaf511,nawaf511,active,running
ndsp-access-guard-final.service,/etc/systemd/system/ndsp-access-guard-final.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp-access-guard-final/server.js ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/ndsp-access-guard-final,,nawaf511,nawaf511,active,running
ndsp-access-guard.service,/etc/systemd/system/ndsp-access-guard.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp-access-guard/server.js ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/ndsp-access-guard,,nawaf511,nawaf511,inactive,dead
ndsp-admin-actions.service,/etc/systemd/system/ndsp-admin-actions.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_admin_actions_gateway.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/auth_api,/etc/ndsp/ndsp-mail.env (ignore_errors=no),,,active,running
ndsp-admin-console.service,/etc/systemd/system/ndsp-admin-console.service,{ path=/usr/bin/npm ; argv[]=/usr/bin/npm run start ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/apps/admin-console,/etc/ndsp/ndsp-mail.env (ignore_errors=no),nawaf511,,inactive,dead
