semantic_cluster_id,candidate_count,capability_ids,capability_names,endpoint_contracts,sources,deduplication_status
CLUSTER-9899BA6BB68DEBC5,2,CAP-3D9086A829ED|CAP-43B04D28A46B,Ndsp Admin Ui Proxy,POST /API/ADMIN-UI/ACTION,backend/auth_api/ndsp_admin_ui_proxy.cjs|backend/ndsp_admin_ui_proxy.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-9BB860E906E5F008,2,CAP-24BDA2A0DD8B|CAP-C8F6891BC250,Ndsp Admin Ui Proxy,GET /API/ADMIN-UI/USERS,backend/auth_api/ndsp_admin_ui_proxy.cjs|backend/ndsp_admin_ui_proxy.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-9D13ADEF1E509D68,1,CAP-7AF5F3CAE976,Ndsp Nowpayments,POST /WEBHOOKS/NOWPAYMENTS,backend/ndsp_nowpayments.cjs,UNIQUE
CLUSTER-9EC582F4151E97EC,2,CAP-3CFCB5B47F6B|CAP-B800EB18EDBC,Ndsp Api Compat Gateway,GET /API/ACCOUNT/TRIAL,backend/auth_api/ndsp_api_compat_gateway.cjs|backend/ndsp_api_compat_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-9F64828D6707F6B0,2,CAP-3D0167450973|CAP-A1DBE2356637,Ndsp Api Compat Gateway,GET /API/ALERTS/STATUS,backend/auth_api/ndsp_api_compat_gateway.cjs|backend/ndsp_api_compat_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-A10391D6225F56E7,1,CAP-D8194AB79967,Frontend Contract,POST /PAYMENTS/WEBHOOK,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-A4184781CB31473F,1,CAP-C8C94E7A8122,Frontend Contract,POST /AUTH/LOGIN,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-A8307409A045A817,1,CAP-98156F574B28,Risk Warnings,,backend/app/support_layers/scenario/scenario_engine.py,UNIQUE
CLUSTER-A84405A7F2E6BD0A,1,CAP-8BFCC7DDCBE0,Frontend Contract,POST /ADMIN/PAYMENTS/{PAYMENT_ID}/APPROVE,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-AB4D236F021BB367,1,CAP-3F9549B2B851,User Operational Compat,POST /API/TRIAL/REQUEST,backend/app/api/compat/user_operational_compat.py,UNIQUE
CLUSTER-ABFFD4E1F0B0E15D,1,CAP-931E56E35D55,Frontend Contract,POST /ME/CHANNELS/TELEGRAM/VERIFY,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-ADEC92F5352C095D,1,CAP-55015F233F5A,Frontend Contract,GET /AUTH/MAGIC-LINK/VERIFY,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-AFBD9A0F516371DC,1,CAP-4ADB944E408B,Ndsp User Login Gateway,POST /API/AUTH/SURVEY/RESPONSE,backend/auth_api/ndsp_user_login_gateway.cjs,UNIQUE
CLUSTER-B3B8D85FAFE3D708,1,CAP-B81607E6BCDB,Frontend Contract,GET /ADMIN/HEALTH,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-B660C1DCD7F3C77B,1,CAP-E4B4728311F0,Decision Quality Public,GET /API/DECISION/QUALITY,backend/app/api/decision_quality_public.py,UNIQUE
CLUSTER-B8252076D7DF7FF9,1,CAP-E50EE9CF3FD6,User Operational Compat,POST /API/TELEGRAM/LINK/VERIFY,backend/app/api/compat/user_operational_compat.py,UNIQUE
CLUSTER-B9068B4DD1E0C3BC,1,CAP-F402D935EFF7,Frontend Contract,GET /ADMIN/PAYMENTS,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-BC5304F5A464794E,1,CAP-9BE0DE3ADC89,Generate Report,,backend/app/support_layers/scenario/scenario_engine.py,UNIQUE
CLUSTER-C303E36D3C1776CA,1,CAP-AA4ECF6DF3F8,Tdl V2 Policy Admin,POST /POLICY,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,UNIQUE
CLUSTER-C427B922BB471395,1,CAP-EC53447FDEFA,Telegram Routing Internal,GET /DEBUG-DB,backend/app/api/internal/telegram_routing_internal.py,UNIQUE
CLUSTER-C9D5E973D5F5F3E9,4,CAP-438A6D14BFBB|CAP-7E1F66F717A1|CAP-A231BBA8D29D|CAP-DECAE45DE878,Auth Optional|Auth Required,GET /API/ACCOUNT/TRIAL|GET /API/ALERTS/STATUS|GET /API/MARKETS|GET /API/PACKAGES|GET /API/PAYMENTS/STATUS|GET /HEALTH,backend/auth_api/ndsp_api_compat_gateway.cjs|backend/ndsp_api_compat_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-CAAF3729109106A9,1,CAP-10D53C6D7918,Frontend Contract,GET /ADMIN/TRIALS,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-CC1E47237D1C817F,1,CAP-D0B86CD5E331,Frontend Contract,POST /AUTH/RESET,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-D7C6C05092448016,1,CAP-29DCBEF0D49C,Ndsp Nowpayments,POST /CHECKOUT/CREATE,backend/ndsp_nowpayments.cjs,UNIQUE
CLUSTER-DA5230BF722A7C44,1,CAP-9F3B6AAA223B,Frontend Contract,POST /ADMIN/PAYMENTS/{PAYMENT_ID}/REJECT,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-DE2E5802B250D7BF,2,CAP-214521E6EBD1|CAP-496F09F3F4BB,Ndsp User Login Gateway,POST /API/AUTH/LOGIN,backend/auth_api/ndsp_user_login_gateway.cjs|backend/ndsp_user_login_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-E25552D956180A16,1,CAP-461745E841AB,Ndsp Trial Info,GET /TRIAL/INFO,backend/ndsp_trial_info.cjs,UNIQUE
CLUSTER-E488ABB058037AED,1,CAP-862CD297F1FD,Frontend Contract,POST /AUTH/FORGOT,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-E6F3B9DC23FA980C,2,CAP-6565FE804AF5|CAP-A810F8810A25,Ndsp User Login Gateway,POST /API/AUTH/2FA/LOGIN/VERIFY,backend/auth_api/ndsp_user_login_gateway.cjs|backend/ndsp_user_login_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-E851A39B70C0258B,3,CAP-2ED357832A3E|CAP-3F820FC0AC86|CAP-E73BB362CCA6,Ndsp User Login Gateway|Ndsp User Portal Final Experience V1 One Script,GET /API/AUTH/SESSION,NDSP_USER_PORTAL_FINAL_EXPERIENCE_V1_ONE_SCRIPT.sh|backend/auth_api/ndsp_user_login_gateway.cjs|backend/ndsp_user_login_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-E95A56A8E3519D6A,2,CAP-2D0CFB1BC505|CAP-3B516BFCFA39,Ndsp User Login Gateway,GET /API/AUTH/2FA/STATUS,backend/auth_api/ndsp_user_login_gateway.cjs|backend/ndsp_user_login_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-EDC8A6285AD42668,2,CAP-15C56B60B4B0|CAP-1AF6F47DC3CE,Ndsp User Login Gateway,POST /API/AUTH/LOGOUT,backend/auth_api/ndsp_user_login_gateway.cjs|backend/ndsp_user_login_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-F3A2BBEC8AF03293,1,CAP-8BCDCDA9FCED,Frontend Contract,GET /ME/ALERT-PREFS,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-F62343BD134E1900,2,CAP-A61CF5BBAA01|CAP-F1EB25BD9898,Ndsp Admin Ui Proxy,POST /API/ADMIN-UI/ALERTS/CHANNEL,backend/auth_api/ndsp_admin_ui_proxy.cjs|backend/ndsp_admin_ui_proxy.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-F6326AB20CA7039F,2,CAP-0D4E2C940F8F|CAP-622CD214F034,Ndsp Admin Ui Proxy,GET /API/ADMIN-UI/BACKUPS,backend/auth_api/ndsp_admin_ui_proxy.cjs|backend/ndsp_admin_ui_proxy.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-F9493910881613CF,1,CAP-F0AA44F7E81A,Frontend Contract,PUT /ME/ALERT-PREFS,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-FBE574887ED479BC,1,CAP-C514A0947E28,Frontend Contract,GET /ME/SUBSCRIPTION,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-FDBEF33E2C765F1C,1,CAP-AD97D3157EBD,Ndsp User Portal Final Experience V1 One Script,POST /API/USER/SURVEY,NDSP_USER_PORTAL_FINAL_EXPERIENCE_V1_ONE_SCRIPT.sh,UNIQUE
CLUSTER-FDFBE9985B5F63E6,22,CAP-235EF538DEF9|CAP-367A94FB6D59|CAP-38A2585A38E0|CAP-3FBDCF7CE0E5|CAP-531AC9AE3E7D|CAP-538062400EBA|CAP-606E55E95DA2|CAP-63C8FEAE8B5B|CAP-6B7418516628|CAP-75CF22E0AFA6|CAP-798893D4D6E0|CAP-81A7994FF55D|CAP-8CF3F7EFFA7B|CAP-968B626DE9C3|CAP-A069C614B1B1|CAP-B742DDE3B851|CAP-BE68902B1F61|CAP-D2D57F714E79|CAP-DA1498962CCC|CAP-E739D717BE35|CAP-ED7AC36DD2F2|CAP-F8EDAA44375A,Account Trial|Admin Health|Admin Layers|Admin Payment Approve|Admin Payment Reject|Admin Payments|Admin Registration Decision|Admin Registrations|Admin Trials|Alert Prefs Payload|Asset Decision|Auth 2Fa Verify|Auth Forgot|Auth Login|Auth Magic Link|Auth Magic Link Verify|Auth Register|Auth Reset|Get Alert Prefs|Markets|Me Subscription|Put Alert Prefs,DELETE /ME/WATCHLIST/{ASSET_ID}|GET /ACCOUNT/TRIAL|GET /ADMIN/HEALTH|GET /ADMIN/LAYERS|GET /ADMIN/PAYMENTS|GET /ADMIN/REGISTRATIONS|GET /ADMIN/TRIALS|GET /ASSETS|GET /ASSETS/{ASSET_ID}/CHART|GET /ASSETS/{ASSET_ID}/DECISION|GET /AUTH/MAGIC-LINK/VERIFY|GET /BRIEF/TODAY|GET /CONTRACT/STATUS|GET /MARKETS|GET /ME/ALERT-PREFS|GET /ME/DASHBOARD|GET /ME/ENTITLEMENTS|GET /ME/SUBSCRIPTION|GET /ME/WATCHLIST|GET /PACKAGES|POST /ACCOUNT/ACTIVATE|POST /ADMIN/PAYMENTS/{PAYMENT_ID}/APPROVE|POST /ADMIN/PAYMENTS/{PAYMENT_ID}/REJECT|POST /ADMIN/REGISTRATIONS/{REGISTRATION_ID}/DECISION|POST /AUTH/2FA/VERIFY|POST /AUTH/FORGOT|POST /AUTH/LOGIN|POST /AUTH/MAGIC-LINK|POST /AUTH/REGISTER|POST /AUTH/RESET|POST /ME/CHANNELS/EMAIL/TEST|POST /ME/CHANNELS/TELEGRAM/LINK|POST /ME/CHANNELS/TELEGRAM/VERIFY|POST /ME/WATCHLIST|POST /PAYMENTS/CHECKOUT|POST /PAYMENTS/WEBHOOK|PUT /ME/ALERT-PREFS,backend/app/api/v1/frontend_contract.py,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-FFA7F6F8B9033F4B,1,CAP-DBE4CDD3AB94,Ndsp Nowpayments,GET /NOWPAYMENTS/HEALTH,backend/ndsp_nowpayments.cjs,UNIQUE
