semantic_cluster_id,candidate_count,capability_ids,capability_names,endpoint_contracts,sources,deduplication_status
CLUSTER-2B8E8720210CF8DD,2,CAP-846435C78CD1|CAP-F139426B5341,Ndsp User Login Gateway,POST /API/AUTH/2FA/SETUP,backend/auth_api/ndsp_user_login_gateway.cjs|backend/ndsp_user_login_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-2BF08E118E2502DD,1,CAP-F150D0BAA604,Frontend Contract,GET /ADMIN/LAYERS,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-2C421ED62D7F895B,1,CAP-1A9F62165A6D,Ndsp User Login Gateway,POST /API/AUTH/INTERNAL/LEGAL-ACCEPTANCE,backend/auth_api/ndsp_user_login_gateway.cjs,UNIQUE
CLUSTER-2E7C1911FA0C6C3D,2,CAP-3E2090989150|CAP-7E97D2614E6D,Ndsp Admin Ui Proxy,GET /API/ADMIN-UI/MARKETS,backend/auth_api/ndsp_admin_ui_proxy.cjs|backend/ndsp_admin_ui_proxy.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-322DC710CFDB962B,1,CAP-E4980A40032A,Ndsp User Portal Final Experience V1 One Script,GET /API/USER/NOTIFICATIONS,NDSP_USER_PORTAL_FINAL_EXPERIENCE_V1_ONE_SCRIPT.sh,UNIQUE
CLUSTER-325036ACDFEA1ED3,4,CAP-56C562461855|CAP-A34761515678|CAP-D93913F10664|CAP-F4B0061B6EC3,Framework Adapter|Version,GET /VERSION,backend/framework/version/version.cjs|backend/services/bot_execution/framework-adapter.cjs|backend/services/completed_decision/framework-adapter.cjs|backend/services/decision_governance_core/framework-adapter.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-328257E93FCC054C,1,CAP-0CE111E47411,Frontend Contract,POST /ME/CHANNELS/TELEGRAM/LINK,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-32A1E3F9E77CD9AB,1,CAP-425426D4A96B,User Operational Compat,GET /API/AUTH/ACTIVATE,backend/app/api/compat/user_operational_compat.py,UNIQUE
CLUSTER-3373CEFA77A50B27,1,CAP-70C19D24087E,Ndsp Nowpayments,GET /WEBHOOKS/NOWPAYMENTS,backend/ndsp_nowpayments.cjs,UNIQUE
CLUSTER-33A3608EC2C6ABB6,2,CAP-242D8324FAD9|CAP-8D64F6304F2E,Ndsp User Login Gateway,POST /API/AUTH/2FA/SETUP/SKIP,backend/auth_api/ndsp_user_login_gateway.cjs|backend/ndsp_user_login_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-37970355FCCFFAB3,1,CAP-11BF5E282765,Frontend Contract,GET /ME/WATCHLIST,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-3936838EFF8BCAF5,1,CAP-1D926198372A,Ndsp User Login Gateway,POST /API/AUTH/RUNTIME/USAGE/CONSUME,backend/auth_api/ndsp_user_login_gateway.cjs,UNIQUE
CLUSTER-39C99CAF91B276BA,10,CAP-170A28FFB0E7|CAP-242A581E1E52|CAP-6F5DF526EE59|CAP-753A055CFA5A|CAP-89CA79DDADE2|CAP-9866D4AE9D59|CAP-B227DA36FA9B|CAP-B2BAF38F8204|CAP-ECBB8B6ED8D2|CAP-ED8397248098,Admin Only|Auth|Ndsp Read Alert State|Ndsp Write Alert State|Update User Status,GET /API/ADMIN-UI/ALERTS|GET /API/ADMIN-UI/BACKUPS|GET /API/ADMIN-UI/GOVERNANCE|GET /API/ADMIN-UI/HEALTH|GET /API/ADMIN-UI/MARKETS|GET /API/ADMIN-UI/PACKAGES|GET /API/ADMIN-UI/PAYMENTS|GET /API/ADMIN-UI/SUMMARY|GET /API/ADMIN-UI/TRIALS|GET /API/ADMIN-UI/USERS|POST /API/ADMIN-UI/ACTION|POST /API/ADMIN-UI/ALERTS/CHANNEL|POST /API/ADMIN-UI/ALERTS/TEST,backend/auth_api/ndsp_admin_ui_proxy.cjs|backend/ndsp_admin_ui_proxy.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-3B0A4645F1E78920,1,CAP-FA44BA71A8B0,Frontend Contract,GET /ASSETS/{ASSET_ID}/CHART,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-3B2119F427ED870D,1,CAP-4C3B7B99A4A6,Nowpayments Create Alias,GET /API/NDSP/NOWPAYMENTS-CREATE-ALIAS/HEALTH,backend/app/api/compat/nowpayments_create_alias.py,UNIQUE
CLUSTER-3B2D0C744090CBFD,1,CAP-2CD69A7EA838,Frontend Contract,POST /AUTH/REGISTER,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-3C2B33BFE5D13257,1,CAP-9ADF707918ED,Ndsp User Login Gateway,GET /API/AUTH/SURVEY/STATUS,backend/auth_api/ndsp_user_login_gateway.cjs,UNIQUE
CLUSTER-3DB2CA2224CCB065,1,CAP-B167184CBF84,Frontend Contract,POST /ME/WATCHLIST,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-40EAC1E50F40B29A,1,CAP-1736E39D1CE4,Frontend Contract,POST /AUTH/MAGIC-LINK,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-418471406315AE70,1,CAP-48F24BF885D7,User Operational Compat,POST /API/TELEGRAM/LINK/START,backend/app/api/compat/user_operational_compat.py,UNIQUE
CLUSTER-4346E697DC6E8699,2,CAP-0843B421B752|CAP-F56AB637F669,Ndsp User Login Gateway,POST /API/AUTH/2FA/CONFIRM,backend/auth_api/ndsp_user_login_gateway.cjs|backend/ndsp_user_login_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-439BB6D39BC81D2B,1,CAP-E9D779AE5200,Frontend Contract,GET /ADMIN/REGISTRATIONS,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-43E988AB222E55F2,1,CAP-A57ECAABD0D2,Frontend Contract,GET /ASSETS,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-456F5C0D6EEA8305,1,CAP-7A9637DD3A75,Frontend Contract,GET /MARKETS,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-4667012B1A9E34A8,1,CAP-2B9AC68DB1D6,Assert No Decision Mutation,,backend/app/support_layers/scenario/scenario_engine.py,UNIQUE
CLUSTER-46E5B501847DD809,2,CAP-13D1EE0A3B7A|CAP-2D45C5C1A44B,Ndsp User Dashboard Gateway,GET /API/USER-DASHBOARD/SAAS-POLICY,backend/auth_api/ndsp_user_dashboard_gateway.cjs|backend/ndsp_user_dashboard_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-49DBC384FFE12134,2,CAP-4B75FD38F852|CAP-C58E98CA2D3A,Ndsp Admin Ui Proxy,POST /API/ADMIN-UI/ALERTS/TEST,backend/auth_api/ndsp_admin_ui_proxy.cjs|backend/ndsp_admin_ui_proxy.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-4AE80B870122ACCA,1,CAP-F6B5F7A0A680,Frontend Fields Api,GET /API/NDSP/FRONTEND-FIELDS/PROBE,backend/app/ndsp_governance/frontend_fields_api.py,UNIQUE
CLUSTER-52E920E2015C88E7,1,CAP-C26418100904,User Operational Compat,GET /API/NDSP/COMPAT/HEALTH,backend/app/api/compat/user_operational_compat.py,UNIQUE
CLUSTER-547C76FD6DEEB68F,1,CAP-A1CD5A0B9B66,Market Type For,,backend/ndsp-live-decision-quality/asset_registry_runtime.py,UNIQUE
CLUSTER-56135DB7D7AC83E9,1,CAP-5FEF33A2C87F,Ndsp User Login Gateway,POST /API/AUTH/EVENTS,backend/auth_api/ndsp_user_login_gateway.cjs,UNIQUE
CLUSTER-566579A5139ED492,1,CAP-6F83F74440AE,Frontend Contract,GET /ASSETS/{ASSET_ID}/DECISION,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-56B06674577E8202,1,CAP-2CC212BF4F8E,Frontend Contract,DELETE /ME/WATCHLIST/{ASSET_ID},backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-5792A265FF46E0D7,2,CAP-7F41666FC0D4|CAP-F142BF636522,Ndsp Admin Ui Proxy,GET /API/ADMIN-UI/TRIALS,backend/auth_api/ndsp_admin_ui_proxy.cjs|backend/ndsp_admin_ui_proxy.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-582655326350BC33,2,CAP-D6B934D294FE|CAP-E01E3F460977,Ndsp User Login Gateway,GET /API/AUTH/LOGIN/HEALTH,backend/auth_api/ndsp_user_login_gateway.cjs|backend/ndsp_user_login_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-5B9DAFE475C08AEA,1,CAP-C84121300635,Tdl V2 Policy Admin,POST /TIMING/ENABLE,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,UNIQUE
CLUSTER-5C8A28CB4849CE41,4,CAP-70F625B28F63|CAP-A6810593B898|CAP-CF000A7305E2|CAP-E668719D9AD9,Alert Prefs Get|Alert Prefs Post|Subscription Status Compat|Trial Register Compat,GET /API/AUTH/ACTIVATE|GET /API/NDSP/COMPAT/HEALTH|GET /API/PAYMENTS/NOWPAYMENTS/SUBSCRIPTION/STATUS|GET /API/USER/ALERT-PREFERENCES|GET /API/V6/PAYMENTS/NOWPAYMENTS/SUBSCRIPTION/STATUS|POST /API/ALERTS/EMAIL/TEST|POST /API/AUTH/ACTIVATE|POST /API/AUTH/REGISTER-TRIAL|POST /API/PAYMENTS/NOWPAYMENTS/SUBSCRIPTION/CREATE|POST /API/TELEGRAM/LINK/START|POST /API/TELEGRAM/LINK/VERIFY|POST /API/TRIAL/REGISTER|POST /API/TRIAL/REQUEST|POST /API/USER/ALERT-PREFERENCES|POST /API/V1/TRIAL/REGISTER|POST /API/V6/PAYMENTS/NOWPAYMENTS/SUBSCRIPTION/CREATE,backend/app/api/compat/user_operational_compat.py,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-5DBA84E9131F0BAC,1,CAP-F19E055AF8D6,User Operational Compat,POST /API/AUTH/ACTIVATE,backend/app/api/compat/user_operational_compat.py,UNIQUE
CLUSTER-5E7C7AD2F1B4282A,3,CAP-A194414E26E2|CAP-B3BF7C85F687|CAP-CAD48928C8E4,Telegram Routing Admin|Telegram Routing Internal|Telegram Routing V2,POST /TEST,backend/app/api/admin/telegram_routing_admin.py|backend/app/api/admin/telegram_routing_v2.py|backend/app/api/internal/telegram_routing_internal.py,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-5E9DA9DE4B7D094A,1,CAP-9EAA6B9BF2BC,User Operational Compat,GET /API/PAYMENTS/NOWPAYMENTS/SUBSCRIPTION/STATUS,backend/app/api/compat/user_operational_compat.py,UNIQUE
CLUSTER-5F9C10E11F6C8818,1,CAP-FAAE9703FE61,User Operational Compat,GET /API/USER/ALERT-PREFERENCES,backend/app/api/compat/user_operational_compat.py,UNIQUE
CLUSTER-631F0C2197AF7D5E,2,CAP-8CF43007F5CD|CAP-C60CD9D10164,Telegram Routing Internal|Telegram Routing V2,GET /DEBUG-AUTH,backend/app/api/admin/telegram_routing_v2.py|backend/app/api/internal/telegram_routing_internal.py,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-64C310B6EDCD42B4,1,CAP-3965B46743DE,Frontend Contract,POST /ADMIN/REGISTRATIONS/{REGISTRATION_ID}/DECISION,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-65E18FD59CD68EA6,2,CAP-255A55D1B989|CAP-B39355BFBE71,Ndsp Admin Ui Proxy,GET /API/ADMIN-UI/SUMMARY,backend/auth_api/ndsp_admin_ui_proxy.cjs|backend/ndsp_admin_ui_proxy.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-67635868736B0665,1,CAP-538A80545E29,Frontend Contract,POST /ME/CHANNELS/EMAIL/TEST,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-67D1DD2C621BA7A2,2,CAP-644C81537AC6|CAP-A8D586B30335,Ndsp User Login Gateway,POST /API/AUTH/2FA/STATUS,backend/auth_api/ndsp_user_login_gateway.cjs|backend/ndsp_user_login_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-6A45450BC66CD8D3,2,CAP-513B295710F5|CAP-BE5C7B84201D,Ndsp Admin Ui Proxy,GET /API/ADMIN-UI/PAYMENTS,backend/auth_api/ndsp_admin_ui_proxy.cjs|backend/ndsp_admin_ui_proxy.cjs,SEMANTIC_DUPLICATES_RETAINED
