file,detector,direction,momentum_index,opposite_index,reference_price_type,opposite_candle_rule,nmp_formula,nmp_price,touch,bounce,false_break,max_reaction_pct
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI7,bullish,140,135,open,last_opposite_candle_before_momentum,RSI7 + Opposite Candle + open,2113.75,1,1,0,7.3897
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI7,bullish,140,135,close,last_opposite_candle_before_momentum,RSI7 + Opposite Candle + close,2113.35,1,1,0,7.41
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI7,bullish,140,135,midpoint,last_opposite_candle_before_momentum,RSI7 + Opposite Candle + midpoint,2113.55,1,1,0,7.3999
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI7,bullish,140,135,high,last_opposite_candle_before_momentum,RSI7 + Opposite Candle + high,2118.1,1,1,0,7.1692
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI7,bullish,140,135,low,last_opposite_candle_before_momentum,RSI7 + Opposite Candle + low,2108.55,0,0,0,7.6545
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI7,bearish,690,687,open,last_opposite_candle_before_momentum,RSI7 + Opposite Candle + open,2337.95,1,1,0,2.3354
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI7,bearish,690,687,close,last_opposite_candle_before_momentum,RSI7 + Opposite Candle + close,2338.35,1,1,0,2.3521
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI7,bearish,690,687,midpoint,last_opposite_candle_before_momentum,RSI7 + Opposite Candle + midpoint,2338.1499999999996,1,1,0,2.3437
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI7,bearish,690,687,high,last_opposite_candle_before_momentum,RSI7 + Opposite Candle + high,2339.45,1,1,0,2.398
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI7,bearish,690,687,low,last_opposite_candle_before_momentum,RSI7 + Opposite Candle + low,2333.25,1,1,0,2.1386
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI14,bullish,140,135,open,last_opposite_candle_before_momentum,RSI14 + Opposite Candle + open,2113.75,1,1,0,7.3897
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI14,bullish,140,135,close,last_opposite_candle_before_momentum,RSI14 + Opposite Candle + close,2113.35,1,1,0,7.41
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI14,bullish,140,135,midpoint,last_opposite_candle_before_momentum,RSI14 + Opposite Candle + midpoint,2113.55,1,1,0,7.3999
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI14,bullish,140,135,high,last_opposite_candle_before_momentum,RSI14 + Opposite Candle + high,2118.1,1,1,0,7.1692
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI14,bullish,140,135,low,last_opposite_candle_before_momentum,RSI14 + Opposite Candle + low,2108.55,0,0,0,7.6545
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI14,bearish,896,894,open,last_opposite_candle_before_momentum,RSI14 + Opposite Candle + open,2269.65,1,1,1,2.3043
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI14,bearish,896,894,close,last_opposite_candle_before_momentum,RSI14 + Opposite Candle + close,2271.15,1,1,1,2.3688
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI14,bearish,896,894,midpoint,last_opposite_candle_before_momentum,RSI14 + Opposite Candle + midpoint,2270.4,1,1,1,2.3366
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI14,bearish,896,894,high,last_opposite_candle_before_momentum,RSI14 + Opposite Candle + high,2277.05,1,1,0,2.6218
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI14,bearish,896,894,low,last_opposite_candle_before_momentum,RSI14 + Opposite Candle + low,2266.75,1,1,1,2.1793
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI21,bullish,140,135,open,last_opposite_candle_before_momentum,RSI21 + Opposite Candle + open,2113.75,1,1,0,7.3897
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI21,bullish,140,135,close,last_opposite_candle_before_momentum,RSI21 + Opposite Candle + close,2113.35,1,1,0,7.41
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI21,bullish,140,135,midpoint,last_opposite_candle_before_momentum,RSI21 + Opposite Candle + midpoint,2113.55,1,1,0,7.3999
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI21,bullish,140,135,high,last_opposite_candle_before_momentum,RSI21 + Opposite Candle + high,2118.1,1,1,0,7.1692
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI21,bullish,140,135,low,last_opposite_candle_before_momentum,RSI21 + Opposite Candle + low,2108.55,0,0,0,7.6545
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI21,bearish,796,795,open,last_opposite_candle_before_momentum,RSI21 + Opposite Candle + open,2311.4,1,1,0,2.0507
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI21,bearish,796,795,close,last_opposite_candle_before_momentum,RSI21 + Opposite Candle + close,2312.95,1,1,0,2.1163
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI21,bearish,796,795,midpoint,last_opposite_candle_before_momentum,RSI21 + Opposite Candle + midpoint,2312.175,1,1,0,2.0835
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI21,bearish,796,795,high,last_opposite_candle_before_momentum,RSI21 + Opposite Candle + high,2328.05,0,0,0,2.7512
NDIP_MT4_CANDLES_ETHUSD_M30.csv,RSI21,bearish,796,795,low,last_opposite_candle_before_momentum,RSI21 + Opposite Candle + low,2309.25,1,1,0,1.9595
