d|drwx------|root:root|4096|2026-08-06T10:06:38.4651751870|/opt/.ndsp-quarantine-20260806-100615
d|drwxr-x---|root:root|4096|2026-05-01T03:00:01.2605209270|/opt/.ndsp-quarantine-20260806-100615/ndip-backups
f|-rw-r--r--|root:root|110592|2026-05-01T03:00:01.2725204740|/opt/.ndsp-quarantine-20260806-100615/ndip-backups/ndip_saas_20260501_030001.sqlite3
f|-rw-r--r--|root:root|110592|2026-04-28T03:00:01.2542074460|/opt/.ndsp-quarantine-20260806-100615/ndip-backups/ndip_saas_20260428_030001.sqlite3
f|-rw-r--r--|root:root|110592|2026-04-27T03:00:01.1877813770|/opt/.ndsp-quarantine-20260806-100615/ndip-backups/ndip_saas_20260427_030001.sqlite3
f|-rw-r--r--|root:root|110592|2026-04-26T03:00:01.7289469640|/opt/.ndsp-quarantine-20260806-100615/ndip-backups/ndip_saas_20260426_030001.sqlite3
f|-rw-r--r--|root:root|40960|2026-04-24T18:48:44.6483352030|/opt/.ndsp-quarantine-20260806-100615/ndip-backups/ndip_saas_20260424_184844.sqlite3
f|-rw-r--r--|root:root|110592|2026-04-30T03:00:01.3515315430|/opt/.ndsp-quarantine-20260806-100615/ndip-backups/ndip_saas_20260430_030001.sqlite3
f|-rw-r--r--|root:root|65536|2026-04-25T03:00:02.0071265000|/opt/.ndsp-quarantine-20260806-100615/ndip-backups/ndip_saas_20260425_030001.sqlite3
d|drwxr-xr-x|root:root|4096|2026-04-18T04:52:10.0233532470|/opt/.ndsp-quarantine-20260806-100615/empire-backups
d|drwxrwxr-x|root:root|4096|2026-04-18T00:18:21.0271338300|/opt/.ndsp-quarantine-20260806-100615/empire-backups/archive_1776480730
d|drwxrwxr-x|root:root|4096|2026-04-18T00:18:21.1571308540|/opt/.ndsp-quarantine-20260806-100615/empire-backups/archive_1776480730/scripts
f|-rwxr-xr-x|root:root|102|2026-03-27T23:36:49.0000000000|/opt/.ndsp-quarantine-20260806-100615/empire-backups/archive_1776480730/scripts/run_ui.sh
f|-rwxr-xr-x|root:root|937|2026-03-28T02:13:34.0000000000|/opt/.ndsp-quarantine-20260806-100615/empire-backups/archive_1776480730/scripts/fix_nginx_full.sh
