path,current_owner,proposed_logic_owner,source_kind,categories,risk,human_review_required,decision_status
apps/ndsp-governance-bridge/app/core/tdl_v2_policy.py,DISCOVERY_REQUIRED,decision_governance_core,RUNTIME_IMPLEMENTATION,DIRECTION|TIME,HIGH,true,PROPOSED
backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,decision_governance_core,CONTRACT,DIRECTION|TIME,HIGH,true,PROPOSED
backend/middleware/trialGuard.js,DISCOVERY_REQUIRED,decision_governance_core,RUNTIME_IMPLEMENTATION,TIME,HIGH,true,PROPOSED
backend/ndsp_api_compat_gateway.cjs,DISCOVERY_REQUIRED,decision_governance_core,INTEGRATION,CORE_EXPANDED|DIRECTION|TIME,HIGH,true,PROPOSED
backend/ndsp_tdl_trade_horizon_addons.cjs,DISCOVERY_REQUIRED,decision_governance_core,RUNTIME_IMPLEMENTATION,DIRECTION|TIME,HIGH,true,PROPOSED
backend/ndsp_trial_register_gateway.cjs,DISCOVERY_REQUIRED,decision_governance_core,INTEGRATION,DIRECTION|TIME,HIGH,true,PROPOSED
backend/ndsp_user_dashboard_gateway.cjs,DISCOVERY_REQUIRED,decision_governance_core,INTEGRATION,DIRECTION|TIME,HIGH,true,PROPOSED
backend/app/support_layers/quality/decision_quality_stack.py,DISCOVERY_REQUIRED,decision_governance_core,RUNTIME_IMPLEMENTATION,DIRECTION,MEDIUM,true,PROPOSED
backend/app/support_layers/scenario/scenario_engine.py,DISCOVERY_REQUIRED,decision_governance_core,RUNTIME_IMPLEMENTATION,DIRECTION,MEDIUM,true,PROPOSED
backend/ndsp_admin_actions_gateway.cjs,DISCOVERY_REQUIRED,decision_governance_core,INTEGRATION,TIME,MEDIUM,true,PROPOSED
backend/ndsp_device_guard.cjs,DISCOVERY_REQUIRED,decision_governance_core,RUNTIME_IMPLEMENTATION,DIRECTION,MEDIUM,true,PROPOSED
backend/ndsp_layer_name_masking_policy.cjs,DISCOVERY_REQUIRED,decision_governance_core,RUNTIME_IMPLEMENTATION,DIRECTION,MEDIUM,true,PROPOSED
apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,DISCOVERY_REQUIRED,decision_governance_core,RUNTIME_IMPLEMENTATION,CORE_EXPANDED|TIME,LOW,true,PROPOSED
backend/ndsp_admin_migrate.cjs,DISCOVERY_REQUIRED,decision_governance_core,RUNTIME_IMPLEMENTATION,CORE_EXPANDED|DIRECTION,LOW,true,PROPOSED
backend/ndsp_admin_ui_proxy.cjs,DISCOVERY_REQUIRED,decision_governance_core,RUNTIME_IMPLEMENTATION,CORE_EXPANDED|TIME,LOW,true,PROPOSED
backend/ndsp_one_device_one_account.sh,DISCOVERY_REQUIRED,decision_governance_core,RUNTIME_IMPLEMENTATION,CORE_EXPANDED|DIRECTION,LOW,true,PROPOSED
backend/ndsp_user_login_gateway.cjs,DISCOVERY_REQUIRED,decision_governance_core,INTEGRATION,CORE_EXPANDED|TIME,LOW,true,PROPOSED
backend/server.js,DISCOVERY_REQUIRED,decision_governance_core,INTEGRATION,CORE_EXPANDED|TIME,LOW,true,PROPOSED
