Tool	Available	Path	Version
bash	True	/usr/bin/bash	GNU bash, version 5.2.21(1)-release (x86_64-pc-linux-gnu)
find	True	/usr/bin/find	find (GNU findutils) 4.9.0
grep	True	/usr/bin/grep	grep (GNU grep) 3.11
rg	True	/usr/bin/rg	ripgrep 14.1.0
sed	True	/usr/bin/sed	sed (GNU sed) 4.9
awk	True	/usr/bin/awk	GNU Awk 5.2.1, API 3.2, PMA Avon 8-g1, (GNU MPFR 4.2.1, GNU MP 6.3.0)
jq	True	/usr/bin/jq	jq-1.7
yq	True	/usr/bin/yq	yq 0.0.0
tree	True	/usr/bin/tree	tree v2.1.1 © 1996 - 2023 by Steve Baker, Thomas Moore, Francesc Rocher, Florian Sesser, Kyosuke Tokoro
stat	True	/usr/bin/stat	stat (GNU coreutils) 9.4
file	True	/usr/bin/file	file-5.45
sha256sum	True	/usr/bin/sha256sum	sha256sum (GNU coreutils) 9.4
git	True	/usr/bin/git	git version 2.43.0
node	True	/usr/bin/node	v22.23.1
npm	True	/usr/bin/npm	10.9.8
python3	True	/usr/bin/python3	Python 3.12.3
docker	True	/usr/bin/docker	Docker version 29.6.2, build dfc4efb
systemctl	True	/usr/bin/systemctl	systemd 255 (255.4-1ubuntu8.16)
nginx	True	/usr/sbin/nginx	"nginx: invalid option: ""-"""
pm2	True	/usr/local/bin/pm2	7.0.3
ss	True	/usr/bin/ss	ss utility, iproute2-6.1.0
curl	True	/usr/bin/curl	curl 8.5.0 (x86_64-pc-linux-gnu) libcurl/8.5.0 OpenSSL/3.0.13 zlib/1.3 brotli/1.1.0 zstd/1.5.5 libidn2/2.3.7 libpsl/0.21.2 (+libidn2/2.3.7) libssh/0.10.6/openssl/zlib nghttp2/1.59.0 librtmp/2.3 OpenLDAP/2.6.10
tar	True	/usr/bin/tar	tar (GNU tar) 1.35
zip	True	/usr/bin/zip	"Copyright (c) 1990-2008 Info-ZIP - Type 'zip ""-L""' for software license."
