capability_id,environment_variable_name,source_location,values_exposed
CAP-235EF538DEF9,ACCESS_TOKEN_SECRET,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,ADMIN_JWT_SECRET,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,ADMIN_KEY,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,ADMIN_TELEGRAM_CHAT_ID,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,ALERT_EMAIL_TO,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,APP,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,APPDIR,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,APP_URL,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,AUDIT,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,AUTH_JWT_SECRET,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,BACKEND_DIR,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,BACKUP,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,BACKUP_ROOT,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,BOT_TOKEN,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,CHAT_ID,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,CODE,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,DATABASE_URL,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,DB_HOST,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,DB_NAME,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,DB_PASSWORD,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,DB_PORT,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,DB_URL,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,DB_USER,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,DEPLOY_DIR,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,EUID,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,FRONTEND_DIR,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,HOME_DIR,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,HOST,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,JWT_SECRET,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,NDSP_ADMIN_ACTIONS_PORT,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,NDSP_ADMIN_ACTION_KEY,LOCAL_ONLY_OR_MODIFIED,false
CAP-235EF538DEF9,NDSP_ADMIN_JWT_SECRET,LOCAL_ONLY_OR_MODIFIED,false
