symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
SNOW.ext,M5,2026.05.01 21:50:00,140.78000,140.83000,140.39000,140.39000,101,141.60000,141.99000,39.00,0,0
SNOW.ext,M5,2026.05.01 21:55:00,140.39000,140.54000,140.25000,140.28000,81,141.60000,141.99000,39.00,0,0
SNOW.ext,M5,2026.05.01 22:00:00,140.27000,140.47000,140.16000,140.24000,62,141.60000,141.99000,39.00,0,0
SNOW.ext,M5,2026.05.01 22:05:00,140.24000,140.43000,140.12000,140.37000,73,141.60000,141.99000,39.00,0,0
SNOW.ext,M5,2026.05.01 22:10:00,140.24000,140.45000,140.24000,140.45000,50,141.60000,141.99000,39.00,0,0
SNOW.ext,M5,2026.05.01 22:15:00,140.41000,140.54000,140.11000,140.35000,89,141.60000,141.99000,39.00,0,0
SNOW.ext,M5,2026.05.01 22:20:00,140.30000,140.76000,140.08000,140.72000,83,141.60000,141.99000,39.00,0,0
SNOW.ext,M5,2026.05.01 22:25:00,140.73000,141.14000,140.70000,140.95000,114,141.60000,141.99000,39.00,0,0
SNOW.ext,M5,2026.05.01 22:30:00,141.02000,141.04000,140.69000,140.93000,111,141.60000,141.99000,39.00,0,0
SNOW.ext,M5,2026.05.01 22:35:00,140.95000,141.03000,140.69000,141.03000,119,141.60000,141.99000,39.00,0,0
SNOW.ext,M5,2026.05.01 22:40:00,141.00000,141.20000,140.84000,141.20000,95,141.60000,141.99000,39.00,0,0
SNOW.ext,M5,2026.05.01 22:45:00,141.23000,141.41000,141.12000,141.37000,138,141.60000,141.99000,39.00,0,0
SNOW.ext,M5,2026.05.01 22:50:00,141.37000,141.56000,141.31000,141.52000,47,141.60000,141.99000,39.00,0,0
