capability_id,capability_name,original_missing_evidence,resolved_evidence,remaining_missing_evidence,missing_proof_elements,data_source,data_state,accepted_probe_url,connector_evidence,payload_sha256,payload_bytes,root_type,root_item_count,freshness_observed,evidence,closure_state,human_confirmation_required,ui_complete_created
CAP-4FF90CCC6DFE,Tdl V2 Policy Admin,REAL_DATA,,REAL_DATA,EXPLICIT_DATA_SOURCE|REAL_DATA_STATE|RESPONSIVE_ENDPOINT|NON_EMPTY_JSON_PAYLOAD,UNKNOWN,UNKNOWN,,backend/tests/pr028-quick-wins-contracts.test.cjs,,0,,0,false,connector:backend/tests/pr028-quick-wins-contracts.test.cjs:market,REMAINS_OPEN,true,false
CAP-8A9DD9B6E7D5,Tdl V2 Policy Admin,REAL_DATA,,REAL_DATA,EXPLICIT_DATA_SOURCE|REAL_DATA_STATE|RESPONSIVE_ENDPOINT|NON_EMPTY_JSON_PAYLOAD,UNKNOWN,UNKNOWN,,backend/tests/pr028-quick-wins-contracts.test.cjs,,0,,0,false,connector:backend/tests/pr028-quick-wins-contracts.test.cjs:market,REMAINS_OPEN,true,false
