capability_id,capability_name,data_source,data_state,accepted_probe_url,connector_candidate_count,top_connector_source,top_connector_terms,source_explicit,state_explicit
CAP-4FF90CCC6DFE,Tdl V2 Policy Admin,UNKNOWN,UNKNOWN,,20,backend/tests/pr028-quick-wins-contracts.test.cjs,market,false,false
CAP-8A9DD9B6E7D5,Tdl V2 Policy Admin,UNKNOWN,UNKNOWN,,20,backend/tests/pr028-quick-wins-contracts.test.cjs,market,false,false
