capability_id,endpoint,exit_code,http_status,content_type,size_download,time_total,error,payload_sha256,payload_bytes,json_valid,root_type,root_item_count,top_level_keys,non_empty,timestamp_keys,freshness_observed,payload_values_persisted
CAP-4FF90CCC6DFE,,,,,,,,,0,false,,0,,false,,false,false
CAP-8A9DD9B6E7D5,,,,,,,,,0,false,,0,,false,,false,false
