أغسطس 05 09:44:09 vmi2934783 gunicorn[3079669]: [2026-08-05 09:44:09 +0200] [3079669] [ERROR] connection to ('127.0.0.1', 9002) failed: [Errno 98] Address already in use
أغسطس 05 09:44:10 vmi2934783 gunicorn[3079669]: [2026-08-05 09:44:10 +0200] [3079669] [ERROR] Connection in use: ('127.0.0.1', 9002)
أغسطس 05 09:44:10 vmi2934783 gunicorn[3079669]: [2026-08-05 09:44:10 +0200] [3079669] [ERROR] connection to ('127.0.0.1', 9002) failed: [Errno 98] Address already in use
أغسطس 05 09:44:11 vmi2934783 gunicorn[3079669]: [2026-08-05 09:44:11 +0200] [3079669] [ERROR] Connection in use: ('127.0.0.1', 9002)
أغسطس 05 09:44:11 vmi2934783 gunicorn[3079669]: [2026-08-05 09:44:11 +0200] [3079669] [ERROR] connection to ('127.0.0.1', 9002) failed: [Errno 98] Address already in use
أغسطس 05 09:44:12 vmi2934783 gunicorn[3079669]: [2026-08-05 09:44:12 +0200] [3079669] [ERROR] Can't connect to ('127.0.0.1', 9002)
أغسطس 05 09:44:17 vmi2934783 gunicorn[3080921]: [2026-08-05 09:44:17 +0200] [3080921] [INFO] Starting gunicorn 25.3.0
أغسطس 05 09:44:17 vmi2934783 gunicorn[3080921]: [2026-08-05 09:44:17 +0200] [3080921] [ERROR] Connection in use: ('127.0.0.1', 9002)
أغسطس 05 09:44:17 vmi2934783 gunicorn[3080921]: [2026-08-05 09:44:17 +0200] [3080921] [ERROR] connection to ('127.0.0.1', 9002) failed: [Errno 98] Address already in use
أغسطس 05 09:44:18 vmi2934783 gunicorn[3080921]: [2026-08-05 09:44:18 +0200] [3080921] [ERROR] Connection in use: ('127.0.0.1', 9002)
أغسطس 05 09:44:18 vmi2934783 gunicorn[3080921]: [2026-08-05 09:44:18 +0200] [3080921] [ERROR] connection to ('127.0.0.1', 9002) failed: [Errno 98] Address already in use
أغسطس 05 09:44:19 vmi2934783 gunicorn[3080921]: [2026-08-05 09:44:19 +0200] [3080921] [ERROR] Connection in use: ('127.0.0.1', 9002)
أغسطس 05 09:44:19 vmi2934783 gunicorn[3080921]: [2026-08-05 09:44:19 +0200] [3080921] [ERROR] connection to ('127.0.0.1', 9002) failed: [Errno 98] Address already in use
أغسطس 05 09:44:20 vmi2934783 gunicorn[3080921]: [2026-08-05 09:44:20 +0200] [3080921] [ERROR] Connection in use: ('127.0.0.1', 9002)
أغسطس 05 09:44:20 vmi2934783 gunicorn[3080921]: [2026-08-05 09:44:20 +0200] [3080921] [ERROR] connection to ('127.0.0.1', 9002) failed: [Errno 98] Address already in use
أغسطس 05 09:44:21 vmi2934783 gunicorn[3080921]: [2026-08-05 09:44:21 +0200] [3080921] [ERROR] Connection in use: ('127.0.0.1', 9002)
أغسطس 05 09:44:21 vmi2934783 gunicorn[3080921]: [2026-08-05 09:44:21 +0200] [3080921] [ERROR] connection to ('127.0.0.1', 9002) failed: [Errno 98] Address already in use
أغسطس 05 09:44:22 vmi2934783 gunicorn[3080921]: [2026-08-05 09:44:22 +0200] [3080921] [ERROR] Can't connect to ('127.0.0.1', 9002)
أغسطس 05 09:44:28 vmi2934783 gunicorn[3081165]: [2026-08-05 09:44:28 +0200] [3081165] [INFO] Starting gunicorn 25.3.0
