يوليو 26 12:51:00 vmi2934783 node[1884066]: ndsp-trial-register-canonical-wrapper listening on 9041, upstream=http://127.0.0.1:9019
-- Boot 8533528739ff4501818bba1d77ac8edf --
يوليو 26 12:52:07 vmi2934783 node[2232]: ndsp-trial-register-canonical-wrapper listening on 9041, upstream=http://127.0.0.1:9019
يوليو 26 13:03:46 vmi2934783 node[41387]: ndsp-trial-register-canonical-wrapper listening on 9041, upstream=http://127.0.0.1:9019
-- Boot 168f7de0363e42cdb477fddec5756ef4 --
يوليو 26 13:04:19 vmi2934783 node[2971]: ndsp-trial-register-canonical-wrapper listening on 9041, upstream=http://127.0.0.1:9019
-- Boot d4a1b926329d4c869a2dfafb02ae170e --
يوليو 26 18:03:56 vmi2934783 node[3395]: ndsp-trial-register-canonical-wrapper listening on 9041, upstream=http://127.0.0.1:9019
-- Boot 75fb0989b75446339fadce54dbb8147b --
يوليو 26 18:10:09 vmi2934783 node[3336]: ndsp-trial-register-canonical-wrapper listening on 9041, upstream=http://127.0.0.1:9019
يوليو 27 19:47:22 vmi2934783 node[460826]: ndsp-trial-register-canonical-wrapper listening on 9041, upstream=http://127.0.0.1:9019
يوليو 29 06:52:57 vmi2934783 node[2498156]: ndsp-trial-register-canonical-wrapper listening on 9041, upstream=http://127.0.0.1:9019
-- Boot 1d7a60877acc40148d88a352d85728d7 --
أغسطس 02 23:57:10 vmi2934783 node[2849]: ndsp-trial-register-canonical-wrapper listening on 9041, upstream=http://127.0.0.1:9019
أغسطس 05 09:30:53 vmi2934783 node[3019909]: ndsp-trial-register-canonical-wrapper listening on 9041, upstream=http://127.0.0.1:9019
-- Boot 645dbba7d26d4e9886840cf8f0143622 --
أغسطس 07 16:46:10 vmi2934783 node[4608]: ndsp-trial-register-canonical-wrapper listening on 9041, upstream=http://127.0.0.1:9019
