ID	SourcePath	SourceLine	VariableName	VariableType	ValueShown	SHA256	Notes
ENV-000001	.env.delivery.example	4	NDSP_TELEGRAM_ENABLED	CONFIG	REDACTED	4014c49c34e57fdba51d280ccb227778ce4ff3eb94db3fbc4af638deb7ab510d	Value intentionally not captured
ENV-000002	.env.delivery.example	5	TELEGRAM_BOT_TOKEN	SECRET_LIKE	REDACTED	4014c49c34e57fdba51d280ccb227778ce4ff3eb94db3fbc4af638deb7ab510d	Value intentionally not captured
ENV-000003	.env.delivery.example	6	TELEGRAM_CHAT_ID	CONFIG	REDACTED	4014c49c34e57fdba51d280ccb227778ce4ff3eb94db3fbc4af638deb7ab510d	Value intentionally not captured
ENV-000004	.env.delivery.example	9	NDSP_EMAIL_ENABLED	CONFIG	REDACTED	4014c49c34e57fdba51d280ccb227778ce4ff3eb94db3fbc4af638deb7ab510d	Value intentionally not captured
ENV-000005	.env.delivery.example	10	SMTP_HOST	SECRET_LIKE	REDACTED	4014c49c34e57fdba51d280ccb227778ce4ff3eb94db3fbc4af638deb7ab510d	Value intentionally not captured
ENV-000006	.env.delivery.example	11	SMTP_PORT	SECRET_LIKE	REDACTED	4014c49c34e57fdba51d280ccb227778ce4ff3eb94db3fbc4af638deb7ab510d	Value intentionally not captured
ENV-000007	.env.delivery.example	12	SMTP_USER	SECRET_LIKE	REDACTED	4014c49c34e57fdba51d280ccb227778ce4ff3eb94db3fbc4af638deb7ab510d	Value intentionally not captured
ENV-000008	.env.delivery.example	13	SMTP_PASSWORD	SECRET_LIKE	REDACTED	4014c49c34e57fdba51d280ccb227778ce4ff3eb94db3fbc4af638deb7ab510d	Value intentionally not captured
ENV-000009	.env.delivery.example	14	SMTP_FROM	SECRET_LIKE	REDACTED	4014c49c34e57fdba51d280ccb227778ce4ff3eb94db3fbc4af638deb7ab510d	Value intentionally not captured
ENV-000010	.env.delivery.example	15	SMTP_TO	SECRET_LIKE	REDACTED	4014c49c34e57fdba51d280ccb227778ce4ff3eb94db3fbc4af638deb7ab510d	Value intentionally not captured
ENV-000011	.env.delivery.example	18	NDSP_PUSH_ENABLED	CONFIG	REDACTED	4014c49c34e57fdba51d280ccb227778ce4ff3eb94db3fbc4af638deb7ab510d	Value intentionally not captured
ENV-000012	.env.delivery.example	19	NDSP_PUSH_WEBHOOK_URL	SECRET_LIKE	REDACTED	4014c49c34e57fdba51d280ccb227778ce4ff3eb94db3fbc4af638deb7ab510d	Value intentionally not captured
ENV-000013	.env.delivery.example	22	ADMIN_KEY	SECRET_LIKE	REDACTED	4014c49c34e57fdba51d280ccb227778ce4ff3eb94db3fbc4af638deb7ab510d	Value intentionally not captured
ENV-000014	.env.example	1	DATABASE_URL	SECRET_LIKE	REDACTED	9063e8051e9db2793da0990bcaf8b8f5325115b872ff7bd67e996dbaff5735b6	Value intentionally not captured
ENV-000015	.env.example	2	JWT_SECRET	SECRET_LIKE	REDACTED	9063e8051e9db2793da0990bcaf8b8f5325115b872ff7bd67e996dbaff5735b6	Value intentionally not captured
ENV-000016	.env.example	3	API_KEY_SECRET	SECRET_LIKE	REDACTED	9063e8051e9db2793da0990bcaf8b8f5325115b872ff7bd67e996dbaff5735b6	Value intentionally not captured
ENV-000017	.env.example	5	PUBLIC_API_BASE_URL	CONFIG	REDACTED	9063e8051e9db2793da0990bcaf8b8f5325115b872ff7bd67e996dbaff5735b6	Value intentionally not captured
ENV-000018	.env.example	6	PUBLIC_WS_BASE_URL	CONFIG	REDACTED	9063e8051e9db2793da0990bcaf8b8f5325115b872ff7bd67e996dbaff5735b6	Value intentionally not captured
ENV-000019	.env.example	8	NEXT_PUBLIC_API_BASE_URL	CONFIG	REDACTED	9063e8051e9db2793da0990bcaf8b8f5325115b872ff7bd67e996dbaff5735b6	Value intentionally not captured
ENV-000020	.env.example	9	NEXT_PUBLIC_WS_BASE_URL	CONFIG	REDACTED	9063e8051e9db2793da0990bcaf8b8f5325115b872ff7bd67e996dbaff5735b6	Value intentionally not captured
ENV-000021	.env.example	11	VITE_API_BASE_URL	CONFIG	REDACTED	9063e8051e9db2793da0990bcaf8b8f5325115b872ff7bd67e996dbaff5735b6	Value intentionally not captured
ENV-000022	backend/.env.example	8	NODE_ENV	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000023	backend/.env.example	9	SYSTEM_MODE	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000024	backend/.env.example	10	APP_NAME	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000025	backend/.env.example	11	APP_HOST	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000026	backend/.env.example	12	APP_PORT	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000027	backend/.env.example	16	DATABASE_URL	SECRET_LIKE	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000028	backend/.env.example	19	JWT_SECRET	SECRET_LIKE	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000029	backend/.env.example	20	JWT_ALG	SECRET_LIKE	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000030	backend/.env.example	21	ACCESS_TOKEN_TTL_MIN	SECRET_LIKE	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000031	backend/.env.example	22	REFRESH_TOKEN_TTL_DAYS	SECRET_LIKE	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000032	backend/.env.example	25	FERNET_KEY	SECRET_LIKE	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000033	backend/.env.example	28	CORS_ORIGINS	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000034	backend/.env.example	31	RATE_LIMIT_PER_MINUTE	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000035	backend/.env.example	32	AUTH_RATE_LIMIT_PER_MINUTE	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000036	backend/.env.example	35	MARKET_DATA_PROVIDER	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000037	backend/.env.example	36	TWELVEDATA_API_KEY	SECRET_LIKE	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000038	backend/.env.example	39	NOWPAYMENTS_API_KEY	SECRET_LIKE	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000039	backend/.env.example	40	NOWPAYMENTS_IPN_SECRET	SECRET_LIKE	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000040	backend/.env.example	43	TELEGRAM_BOT_TOKEN	SECRET_LIKE	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000041	backend/.env.example	46	SMTP_HOST	SECRET_LIKE	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000042	backend/.env.example	47	SMTP_PORT	SECRET_LIKE	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000043	backend/.env.example	48	SMTP_USER	SECRET_LIKE	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000044	backend/.env.example	49	SMTP_PASS	SECRET_LIKE	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000045	backend/.env.example	50	SMTP_FROM	SECRET_LIKE	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000046	backend/.env.example	53	NDSP_REPORTS_DIR	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000047	backend/.env.example	54	NDSP_BACKUPS_DIR	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000048	backend/.env.example	55	NDSP_SNAPSHOTS_DIR	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000049	backend/.env.example	58	MODE	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000050	backend/.env.example	59	EXECUTION_POLICY	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000051	backend/.env.example	60	ALL_LAYERS_PARTICIPATE	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000052	backend/.env.example	61	NO_LAYER_DISABLED	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
ENV-000053	backend/.env.example	62	DIRECT_TRADE_EXECUTION	CONFIG	REDACTED	b3568d9f0d5500e6da46b044553b5827508c9a90fdfda670264c7862cf2a140c	Value intentionally not captured
